dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
67,246190.0,0.6567407491813553,1.0,0.6662838776370948
68,90553.0,2.0058019013692696e-68,1.5404558602515991e-65,5.386209301579018e-68
69,47463.0,3.6260226848725032e-109,2.7847854219820824e-106,1.71900334690252e-108
70,52004.0,2.0298151433337537e-104,1.5588980300803228e-101,8.807333503278661e-104
71,9236.0,2.205923538105582e-153,1.694149277265087e-150,4.343972505807915e-152
72,11101.0,4.752630556290159e-151,3.650020267230842e-148,7.449020953532331e-150
73,22124.0,1.2559566114891628e-137,9.64574677623677e-135,1.1347937383807966e-136
74,163865.0,3.202146174430913e-21,2.459248261962941e-18,4.8410398857538205e-21
75,242252.0,0.38131244984940593,1.0,0.39414261303411
76,3933.0,4.0749775816184476e-160,3.129582782682968e-157,1.6471488329910358e-158
77,197768.0,9.202537397163008e-09,7.06754872102119e-06,1.1720644645142936e-08
78,150277.0,7.155610534343078e-28,5.495508890375484e-25,1.1869349655238625e-27
79,109300.0,1.0491218738019037e-53,8.05725599079862e-51,2.302073140228177e-53
80,91093.0,5.646008230387932e-68,4.336134320937931e-65,1.50039249859444e-67
81,249662.0,0.9486804607746804,1.0,0.9486804607746804
82,108954.0,5.830145103198486e-54,4.477551439256438e-51,1.2866527124300108e-53
83,58515.0,8.481288903221747e-98,6.513629877674302e-95,3.357541174058918e-97
84,23340.0,3.475054100103073e-136,2.6688415488791597e-133,2.965379498754622e-135
85,190661.0,6.902640143231853e-11,5.301227630002063e-08,9.077444571921342e-11
86,150905.0,1.524119367393712e-27,1.1705236741583708e-24,2.517255213243808e-27
87,224043.0,0.004121856539994393,1.0,0.004587805540167672
88,185104.0,9.96131244360593e-13,7.650287956689355e-10,1.3588433315611643e-12
89,154525.0,1.0868844891703766e-25,8.347272876828492e-23,1.7499523850793485e-25
90,245905.0,0.6343491743853765,1.0,0.6444182088994301
91,82851.0,5.334564777270956e-75,4.096945748944094e-72,1.528711100352274e-74
92,182276.0,1.0022892014437064e-13,7.697581067087665e-11,1.3919676432346592e-13
93,136593.0,1.5619332034654938e-35,1.1995647002614992e-32,2.796188112497667e-35
94,225127.0,0.005959072493013444,1.0,0.006623108067488169
95,53819.0,1.4970970900592837e-102,1.14977056516553e-99,6.2828992631996164e-102
96,110162.0,4.505904202356207e-53,3.4605344274095665e-50,9.803213675381209e-53
97,12488.0,2.5149088656343913e-149,1.9314500088072124e-146,3.5117272887403865e-148
98,202624.0,1.8555222119739393e-07,0.00014250410587959855,2.309628944563996e-07
99,39422.0,7.7468452915867565e-118,5.949577183938629e-115,4.160543485271769e-117
100,228920.5,0.019554959094426918,1.0,0.021423978009300817
101,25780.0,2.5778004610170065e-133,1.979750754061061e-130,1.9409321118245696e-132
102,208238.0,4.250616744846051e-06,0.003264473660041767,5.16530642411672e-06
103,105851.0,2.8166840114600654e-56,2.16321332080133e-53,6.457353196421881e-56
104,233198.0,0.06196395477822041,1.0,0.0668375242551591
105,38990.0,2.5930451061612973e-118,1.9914586415318764e-115,1.443085972124548e-117
106,179010.0,6.2843980969782885e-15,4.826417738479325e-12,8.937810626813566e-15
107,234794.0,0.09067428690452577,1.0,0.09671923936482749
108,16403.0,1.6280247368505294e-144,1.2503229979012066e-141,1.8944287846987977e-143
109,188794.0,1.7304936828868834e-11,1.3290191484571263e-08,2.3033260805149505e-11
110,47001.0,1.1758882889445671e-109,9.030822059094275e-107,5.644263786933922e-109
111,20836.0,3.6578746389517e-139,2.8092477227149057e-136,3.384635810499886e-138
112,193102.0,3.960927620265608e-10,3.0419924123639873e-07,5.138500696560789e-10
113,20377.0,1.032422445416342e-139,7.929004380797506e-137,9.788894297280872e-139
114,241949.0,0.3635360972718369,1.0,0.37627455890130823
115,134221.0,5.851499583563656e-37,4.493951680176888e-34,1.0598942641926621e-36
116,232896.0,0.05748415601537145,1.0,0.06209259046386114
117,192380.0,2.3797077148748893e-10,1.827615525023915e-07,3.097653432243924e-10
118,240316.0,0.27686011030034074,1.0,0.28850551521120993
119,243024.0,0.42895822134937034,1.0,0.44101728781300725
120,20085.0,4.611015711607325e-140,3.5412600665144256e-137,4.540077008351828e-139
121,229947.0,0.026255205996482366,1.0,0.02864204290525349
122,109568.0,1.6520665563295695e-53,1.2687871152611095e-50,3.614778106157007e-53
123,51074.0,2.2068717015754658e-105,1.6948774668099576e-102,9.85393876052301e-105
124,31056.0,3.250219233778252e-127,2.4961683715416977e-124,2.0629490673898327e-126
125,36751.0,8.605646964402564e-121,6.609136868661169e-118,4.969275841098623e-120
126,22531.0,3.8235668309807475e-137,2.936499326193214e-134,3.3752865818312806e-136
127,200277.0,4.4961254184481006e-08,3.453024321368141e-05,5.669990675481349e-08
128,186486.0,2.956779381955235e-12,2.2708065653416205e-09,3.997898882643698e-12
129,123216.0,5.869487875931254e-44,4.507766688715203e-41,1.144103220486092e-43
130,98172.0,3.1906437851100584e-62,2.450414426964525e-59,7.80386760179785e-62
131,24127.0,2.952067645646719e-135,2.26718795185668e-132,2.411902076443277e-134
132,231265.0,0.03769605340295224,1.0,0.04094847102329183
133,113991.0,2.6232032271798463e-50,2.014620078474122e-47,5.580665037324438e-50
134,193761.0,6.272595587922084e-10,4.817353411524161e-07,8.110022578323503e-10
135,239255.0,0.2287675907603658,1.0,0.239038788712872
136,41803.0,3.1007274218253393e-115,2.3813586599618607e-112,1.5875724399745737e-114
137,83235.0,1.1540079722026417e-74,8.862781226516289e-72,3.2825115653764033e-74
138,238751.0,0.20813559126500347,1.0,0.2183717678845938
139,107107.0,2.47270611132232e-55,1.8990382934955418e-52,5.569027253652615e-55
140,62798.0,1.4581625970849922e-93,1.119868874561274e-90,5.38398497385228e-93
141,146263.0,5.101293769500968e-30,3.9177936149767434e-27,8.686903802609186e-30
142,147581.0,2.6412719737975297e-29,2.028496875876503e-26,4.4779180482925005e-29
143,106729.0,1.2885489696328641e-55,9.896056086780396e-53,2.9278272446095845e-55
144,80591.0,5.48701289499235e-77,4.214025903354125e-74,1.6333433733930716e-76
145,116239.0,1.0157777595287705e-48,7.801173193180958e-46,2.1314680855685677e-48
