dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
46,233140.0,0.06108191251753522,1.0,0.0659787747024853
47,118007.0,1.7271285521997364e-47,1.3264347280893975e-44,4.436236548793972e-47
48,88741.0,6.068686231252583e-70,4.660751025601984e-67,2.2735370856595044e-69
49,219644.0,0.000807512192976577,0.6201693642060111,0.0009325855100842273
50,108212.0,1.6460518941657226e-54,1.264167854719275e-51,4.6995087536032525e-54
51,165116.0,1.1747085726344626e-20,9.021761837832674e-18,1.965525454865506e-20
52,227097.0,0.011264538756541933,1.0,0.01248364468257461
53,141341.0,9.150974014927896e-33,7.027948043464624e-30,1.8592455141440805e-32
54,211706.0,2.4525814329969186e-05,0.018835825405416333,2.947703506324935e-05
55,155515.0,3.3979993614844556e-25,2.609663509620062e-22,6.273229590432841e-25
56,84736.0,2.3162827636570306e-73,1.7789051624885995e-70,9.615703581019457e-73
57,127453.0,3.44631719890188e-41,2.646771608756644e-38,7.948263089359291e-41
58,170140.0,1.8020457451309965e-18,1.3839711322606052e-15,2.925943197168299e-18
59,205047.0,7.496840331777724e-07,0.0005757573374805292,9.392452487447458e-07
60,47029.0,1.2591544702303405e-109,9.670306331369015e-107,1.255883939138833e-108
61,146322.0,5.493523506585508e-30,4.21902605305767e-27,1.0818015520660692e-29
62,24837.0,2.021488417761366e-134,1.5525031048407293e-131,7.056832294730587e-133
63,65291.0,3.8481426896890364e-91,2.95537358568118e-88,2.4835072148581347e-90
64,236817.0,0.1414510911823439,1.0,0.14984060417660705
65,122363.0,1.5847841751055823e-44,1.2171142464810872e-41,3.803482020253397e-44
66,202445.0,1.6691519458192728e-07,0.00012819086943892014,2.125885065322059e-07
67,154328.0,8.651339133312367e-26,6.644228454383899e-23,1.6010189046708187e-25
68,195567.0,2.154166476430128e-09,1.6543998538983386e-06,2.847504051460135e-09
69,80039.0,1.7775877436980423e-77,1.3651873871600965e-74,7.98355197169647e-77
70,144315.0,4.322885350704428e-31,3.3199759493410003e-28,8.668344515250654e-31
71,208680.0,5.355601766471733e-06,0.00411310215665029,6.559971541707003e-06
72,126879.0,1.4713204714801226e-41,1.1299741220967342e-38,3.403536512339561e-41
73,119499.0,1.8329187669188866e-46,1.407681612993705e-43,4.630531621689819e-46
74,12215.0,1.1537690779618957e-149,8.86094651874736e-147,1.7721893037494718e-147
75,229137.0,0.020828429655128884,1.0,0.022819164015890132
76,31153.0,4.195350461967075e-127,3.2220291547907137e-124,1.006884110872098e-125
77,152766.0,1.3936860122229302e-26,1.0703508573872104e-23,2.6234089641843394e-26
78,196039.0,2.955204592998286e-09,2.2695971274226835e-06,3.89965142168846e-09
79,185738.0,1.6454908862313558e-12,1.2637370006256812e-09,2.344595548470652e-12
80,215566.0,0.0001466973632173783,0.11266357495094653,0.00017386354159096686
81,113516.0,1.2021660575908883e-50,9.232635322298023e-48,3.2281941686356722e-50
82,59204.0,4.1329495007116144e-97,3.17410521654652e-94,3.1426784322242772e-96
83,138750.0,2.9209277197434557e-34,2.243272488762974e-31,6.0793292378400375e-34
84,223518.0,0.003431860025886605,1.0,0.0038874166664910215
85,28527.0,4.033781149164352e-130,3.0979439225582224e-127,1.1064085437707935e-128
86,161905.0,4.0257354829996946e-22,3.0917648509437654e-19,6.963434348972445e-22
87,159935.0,4.783059066152021e-23,3.673389362804752e-20,8.405925315342682e-23
88,147423.0,2.17113968285827e-29,1.6674352764351514e-26,4.2645403489390056e-29
89,225518.0,0.006784833191190698,1.0,0.007629212138849863
90,197646.0,8.50350985266803e-09,6.5306955668490466e-06,1.1125546110475378e-08
91,127678.0,4.806034142986934e-41,3.6910342218139656e-38,1.098522089825585e-40
92,121761.0,6.257250470517008e-45,4.8055683613570624e-42,1.5255772575736705e-44
93,111626.0,5.247774576335118e-52,4.03029087462537e-49,1.44454870058257e-51
94,80408.0,3.777885806920526e-77,2.9014162997149642e-74,1.6868699416947465e-76
95,130121.0,1.7105140920060344e-39,1.3136748226606345e-36,3.841154452224077e-39
96,220747.0,0.0012401995859887278,0.9524732820393429,0.0014237268789825755
97,129879.0,1.2045683030315007e-39,9.251084567281924e-37,2.7129280255958724e-39
98,171928.0,1.00547255340532e-17,7.722029210152857e-15,1.5954605806100945e-17
