dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
47,116784.0,2.4426440922580392e-48,1.875950662854174e-45,7.849165953364744e-48
48,221724.0,0.0017930690929579068,1.0,0.0021153257502176228
49,96417.0,1.264985802164803e-63,9.715090960625687e-61,5.748574532914608e-63
50,205737.0,1.1019450576049101e-06,0.000846293804240571,1.4343962783738492e-06
51,192815.0,3.237135692917459e-10,2.486120212160608e-07,4.6469536675899217e-10
52,233510.0,0.06689171657832897,1.0,0.07370565040481585
53,189709.0,3.426605321957975e-11,2.631632887263725e-08,5.109966771385874e-11
54,153761.0,4.474187848523441e-26,3.436176267666003e-23,9.337435509961963e-26
55,65019.0,2.1020190511376473e-91,1.6143506312737131e-88,1.9450007605707386e-90
56,189452.0,2.8311498375519263e-11,2.1743230752398792e-08,4.2302005354861464e-11
57,207925.0,3.6041001326202483e-06,0.0027679489018523507,4.620949752675043e-06
58,96565.0,1.663100470554478e-63,1.277261161385839e-60,7.513300949328466e-63
59,101887.0,2.621846960705105e-59,2.0135784658215206e-56,1.0118484752871964e-58
60,218341.0,0.0004779193755689624,0.3670420804369631,0.0005735032506827549
61,230235.0,0.02845973161177312,1.0,0.0318616237286323
62,237356.0,0.1581242210079179,1.0,0.17080084632078896
63,110228.0,5.036276528524495e-53,3.867860373906812e-50,1.7344665353842208e-52
64,240820.0,0.3019641009832915,1.0,0.3172481936459205
65,149893.0,4.496426804239401e-28,3.45325578565586e-25,9.64596588172028e-28
66,215967.0,0.00017494010097521978,0.1343539975489688,0.00021359936017324133
67,24957.0,2.7966138494756416e-134,2.1477994363972928e-131,1.342374647748308e-132
68,182770.0,1.507169661071411e-13,1.1575062997028437e-10,2.352655080696837e-13
69,227627.0,0.013272658635027624,1.0,0.01512374159006115
70,209709.0,9.091850934803277e-06,0.006982541517928917,1.1522345739156628e-05
71,96806.0,2.595256147874349e-63,1.9931567215675002e-60,1.1655887260628657e-62
72,153194.0,2.3050726805793148e-26,1.7702958186849138e-23,4.823694328841727e-26
73,228595.0,0.017768433225453413,1.0,0.02009743257311962
74,164617.5,7.013937225159435e-21,5.3867037889224465e-18,1.3235144444526895e-20
75,124364.0,3.3727048246136356e-43,2.5902373053032722e-40,9.737734230463428e-43
76,149860.0,4.320068014475706e-28,3.3178122351173423e-25,9.293591695006561e-28
77,132725.0,7.123659079019084e-38,5.470970172686657e-35,1.8236567242288854e-37
78,203625.0,3.3310211157937834e-07,0.00025582242169296256,4.425993454895546e-07
79,214319.0,8.385937089971102e-05,0.06440399685097806,0.00010421358713750496
80,219384.0,0.0007283817657756973,0.5593971961157355,0.0008699800872717504
81,89862.0,5.308582075994617e-69,4.076991034363866e-66,2.7924596125779906e-68
82,143446.0,1.4166790340727213e-31,1.0880094981678498e-28,3.218963012330917e-31
83,110897.0,1.550476311848966e-52,1.1907658075000059e-49,5.268875254424805e-52
84,150811.0,1.3614731576345883e-27,1.0456113850633638e-24,2.9044760696204553e-27
85,246975.0,0.7199770840338306,1.0,0.7343192570225524
86,110807.0,1.3332208410220385e-52,1.0239136059049256e-49,4.5507271373552246e-52
87,132327.0,4.049821581464917e-38,3.110262974565056e-35,1.0472265907626452e-37
88,138482.0,2.036148747230462e-34,1.5637622378729946e-31,4.933003904962129e-34
89,206563.0,1.7348657121991324e-06,0.0013323768669689336,2.2430586986008984e-06
90,105664.0,2.035167242537672e-56,1.5630084422689322e-53,7.442897344137772e-56
91,246089.0,0.6487688994315954,1.0,0.6652263214465491
92,184973.0,8.974838649177394e-13,6.892676082568239e-10,1.3757836492152173e-12
93,237241.0,0.15444745619654385,1.0,0.16706429064640235
94,50354.0,3.9324712661432196e-106,3.0201379323979927e-103,5.698373457354703e-105
95,194887.0,1.3597955897074256e-09,1.0443230128953028e-06,1.92324680091216e-09
96,101436.0,1.1710610060570448e-59,8.993748526518105e-57,4.588647207407196e-59
97,21701.0,3.941153883695099e-138,3.0268061826778365e-135,2.5223384855648635e-136
98,235797.0,0.11363579805777313,1.0,0.12379048639485073
99,239314.0,0.23127498206347263,1.0,0.24600995321987118
100,186999.0,4.40284984840631e-12,3.381388683576046e-09,6.682586331177957e-12
101,53876.0,1.7126818129709684e-102,1.3153396323617038e-99,2.1562944792814817e-101
102,32748.0,2.7403930173030957e-125,2.1046218372887775e-122,8.418487349155109e-124
103,228580.0,0.017689667680874384,1.0,0.02003785365621169
104,245609.0,0.6114427651868626,1.0,0.6286319192282603
105,135599.0,3.9763185571381396e-36,3.0538126518820912e-33,9.947272481700624e-36
106,213429.0,5.565460974451635e-05,0.042742740283788556,6.938756539576064e-05
107,85062.0,4.4274305234765407e-73,3.4002666420299834e-70,2.5759595772954417e-72
108,90111.0,8.576435648200354e-69,6.586702577817872e-66,4.480750052937328e-68
109,116368.0,1.250691543742165e-48,9.605311055939827e-46,4.05287386326575e-48
110,198239.0,1.246437878914416e-08,9.572642910062714e-06,1.7373217622618357e-08
111,49570.0,5.968338331670966e-107,4.583683838723302e-104,8.98761537004569e-106
112,125661.0,2.3860876017756857e-42,1.8325152781637266e-39,6.737188522660759e-42
113,196505.0,4.027554992151579e-09,3.0931622339724125e-06,5.654775564849017e-09
114,137160.0,3.3910362442052704e-35,2.604315835549648e-32,8.347166139582205e-35
115,178567.0,4.274865386404667e-15,3.2830966167587843e-12,6.868402963930511e-15
116,149218.0,1.978387655994195e-28,1.5194017198035418e-25,4.292095253682321e-28
117,177761.0,2.107987145498299e-15,1.6189341277426936e-12,3.3939918820601542e-15
118,98405.0,4.8844475678550344e-62,3.7512557321126664e-59,2.119353520967608e-61
119,238799.0,0.21004047433439965,1.0,0.22435477647958127
120,167628.0,1.510358396500503e-19,1.1599552485123864e-16,2.755238119981915e-19
121,198501.0,1.4739309278016648e-08,1.1319789525516785e-05,2.0506865082457946e-08
