Dimension,Mutual_Information
1,0.0051259720346494494
2,0.003811743347334799
3,0.0025219836367266976
4,0.0035074266121852475
5,0.003649390721003724
6,0.004619389547250101
7,0.001476067228435011
8,0.002860052226954145
9,0.002101329392982014
10,0.002831486814894
11,0.0013751608838315148
12,0.004830810765341496
13,0.0014413327946534086
14,0.00291089433802285
15,0.003016841986832434
16,0.0020829528067481326
17,0.0025862285461426752
18,0.0028833069588221553
19,0.0045021707663387076
20,0.0034635949111406147
21,0.002205666598432597
22,0.0014607753430341194
23,0.002314056386085832
24,0.0012991611335225126
25,0.003069634569137967
26,0.0023304218117147987
27,0.002352202786312117
28,0.004013820867001354
29,0.005089799201402366
30,0.0047464021535921705
31,0.0038696827067246017
32,0.0023276239402586422
33,0.0026041284298944298
34,0.003915105060347333
35,0.016640429659064128
36,0.003493253808724859
37,0.0012089673304707324
38,0.0013076460273591592
39,0.002476212370065005
40,0.004859524585637452
41,0.0013064758643160294
42,0.005539654144813909
43,0.0025063536017967884
44,0.003878483651035651
45,0.0038014518698901364
46,0.0018446620915113163
47,0.0016775797902412108
48,0.0029379702058269994
49,0.002588613198122473
50,0.0015861584024054113
51,0.0012580804894062807
52,0.004250619669107163
53,0.009323375870411398
54,0.0025452583014182392
55,0.005979138949918104
56,0.0021119467898903714
57,0.0030924927806340805
58,0.004663991542259653
59,0.0014954295311119456
60,0.001884992416941976
61,0.0018440064037243062
62,0.0015370865249828489
63,0.0020386401609856423
64,0.0023855313222355882
65,0.004660761934289208
66,0.00578744342021064
67,0.00344812693007978
68,0.009838810575515174
69,0.0008178158282404688
70,0.0015726525226256653
71,0.0012938413627216414
72,0.001795648925010794
73,0.002905282180807732
74,0.0013892275851109456
75,0.00606816187883346
76,0.005560372718074157
77,0.002473532999663734
78,0.0034173014431853536
79,0.0027713081167299244
80,0.0032332022202014236
81,0.0014024654700985277
82,0.0057738396415836155
83,0.001213194003503996
84,0.0028009818730524924
85,0.0024867554237108995
86,0.0012218815363728912
87,0.0025272331106667083
88,0.0033570632598474907
89,0.004422720590810579
90,0.0016640930442615096
91,0.010464784435119563
92,0.0011542238679155196
93,0.002069768122462172
94,0.0022321346230258425
95,0.00648708359363389
96,0.004974618754033121
97,0.003094542318233291
98,0.001572625760193284
99,0.0017664477831438245
100,0.0018888978824130802
101,0.003111525795646878
102,0.0027576211822737877
103,0.0012627509089373971
104,0.013247723186380116
105,0.0019586923871163717
106,0.002105176476603097
107,0.0020571506152099947
108,0.0028813612906918515
109,0.00227147535891966
110,0.002158279640905668
111,0.0011127441829284976
112,0.0028734553361336383
113,0.002348232998277293
114,0.004757433366712964
115,0.006584891052490292
116,0.002822135521606532
117,0.0033309113585680487
118,0.003197719571511735
119,0.010716460970264872
120,0.0026805879364663536
121,0.0018154849359328304
122,0.0024419874839228177
123,0.0032525149117636418
124,0.0010957373919407913
125,0.0013103673964849553
126,0.001014412275264546
127,0.0014746369539524115
128,0.0025436735687279985
129,0.0020981607127432337
130,0.0014820289234153887
131,0.0028160954741369075
132,0.003217787595621184
133,0.002328808354201926
134,0.004339440629128742
135,0.0024126149268844863
136,0.001564035967202719
137,0.001903653283387867
138,0.001579327745796159
139,0.0045711428237442606
140,0.001113751165874248
141,0.0024402580316838156
142,0.0016315024696119604
143,0.001984279512275443
144,0.0013427784624137832
145,0.003280664620739608
146,0.0007980994401786605
147,0.0019181789746539539
148,0.00247621541918621
149,0.0016421120207737294
150,0.0022570308691786875
151,0.0021891155449976422
152,0.001500920943851867
153,0.002947597901027991
154,0.0044140078370037625
155,0.0008656239203268454
156,0.0020813543399441563
157,0.007091291603956697
158,0.0017993284005151026
159,0.0020442487716662225
160,0.00300460394249679
161,0.001636752160861558
162,0.003900498578779131
163,0.005427373591875055
164,0.002936907330498166
165,0.0029204509139700782
166,0.002005881022824611
167,0.0031121925201177607
168,0.0037424430643224135
169,0.002169201920236084
170,0.00488340111126425
171,0.0024276795267922854
172,0.003857506849674473
173,0.0036227457867836137
174,0.0010820370500504647
175,0.000955236615628983
176,0.00149640797699551
177,0.005977484809477872
178,0.0022647173402220375
179,0.005525965173431617
180,0.002070732576829402
181,0.001806427819578647
182,0.005171092603439335
183,0.0022684700653199034
184,0.005895323683491598
185,0.0021786462749392925
186,0.001609099541994223
187,0.003343507632934665
188,0.003112919945458335
189,0.002733870854810326
190,0.0018030744008857218
191,0.004232195893248074
192,0.0028572201413945494
193,0.0024907377344912033
194,0.002047261158337461
195,0.0024846612594774035
196,0.002104142619468445
197,0.005063679531171615
198,0.002461204124432646
199,0.003582811405281681
200,0.0024302545072701002
201,0.001018492697255006
202,0.001663730587127508
203,0.0020821615972503246
204,0.004223538412177812
205,0.0013886614340254048
206,0.010285327245347265
207,0.0020867633184412857
208,0.0019267985147407222
209,0.0041166578121124495
210,0.002177912530431085
211,0.003692395307163414
212,0.0013039796103670662
213,0.005650067027994275
214,0.0023888142952058693
215,0.0028895408539097926
216,0.0021561153845986378
217,0.004775058575426698
218,0.002621527132258709
219,0.0031846631767623243
220,0.003163380628894423
221,0.0013530389826945026
222,0.004750395646974402
223,0.004520862498168875
224,0.004250754273067529
225,0.0025207794125351943
226,0.0029102682297218667
227,0.0015888636795371096
228,0.0026387722115814513
229,0.004878005188034544
230,0.0035269289990129335
231,0.0037302839249708157
232,0.0019159174424972433
233,0.0057646472218522635
234,0.0016233339267580841
235,0.0021095730629580793
236,0.0026816071394493643
237,0.0014790890098250668
238,0.0032833862415618457
239,0.002067646276895728
240,0.005384408360636965
241,0.002446145094960432
242,0.0014548106853877682
243,0.004171309906986075
244,0.002405526529293787
245,0.0027075984115051614
246,0.0024521189748046217
247,0.002289681857460278
248,0.0043039378443177
249,0.003524136894833683
250,0.00197043899061166
251,0.0070824667589799925
252,0.002236278514323918
253,0.001469169033797089
254,0.0027297742014603874
255,0.0033252193638313374
256,0.002020214838360339
257,0.0033701691863960086
258,0.0037614394811680478
259,0.0014681235426169323
260,0.0033470702114614874
261,0.0015453275040696528
262,0.0019170243823746973
263,0.0013707443400384693
264,0.003281394340243597
265,0.001297228958750583
266,0.003842321318365337
267,0.00507428022134631
268,0.0027628007007431325
269,0.0013987747943935633
270,0.0017925500523468738
271,0.0017225842003609423
272,0.0041420587024509
273,0.003688483357974052
274,0.0035605541138112803
275,0.0020441248249541337
276,0.002313994826790254
277,0.008045896750277913
278,0.0022987429684221614
279,0.0039420027004263124
280,0.006028675872754151
281,0.003459236891351296
282,0.0011543248422079752
283,0.004312128099121591
284,0.004485016138579233
285,0.001375384065392025
286,0.0022375085473868503
287,0.0024780870293512267
288,0.0010854236150568061
289,0.007033981124174922
290,0.0027279453978686294
291,0.0031884700144449926
292,0.0025673018621023484
293,0.0018938412205096108
294,0.002023752311809838
295,0.0010689667529527806
296,0.0021052456943259005
297,0.0019383515379035525
298,0.005058425482869881
299,0.0027613542188391
300,0.0019524288154460705
301,0.0009267461151866645
302,0.0018048001613614121
303,0.0036930746352942176
