dimension,edi_score,mi_score,wilcoxon_score,rfe_logistic_score
686,0.5549299826463866,0.251764022395614,1.0,0.41719957428186455
150,0.5548572100869655,0.25154349948827726,1.0,0.41719957428186455
0,0.5546512752931102,0.25091945465841287,1.0,0.41719957428186455
709,0.5542988938908817,0.24985163222741738,1.0,0.41719957428186455
580,0.5542511576351787,0.24970697690710542,1.0,0.41719957428186455
26,0.5515816918003791,0.24161768649862153,1.0,0.41719957428186455
728,0.5513123155880919,0.2408013949462361,1.0,0.41719957428186455
683,0.5508846729786308,0.23950550825089945,1.0,0.41719957428186455
710,0.5503486071868146,0.2378810664575168,1.0,0.41719957428186455
687,0.5500644557302591,0.23702000143765176,1.0,0.41719957428186455
333,0.5492093135781104,0.23442866158265582,1.0,0.41719957428186455
169,0.5490919139937431,0.23407290526639118,1.0,0.41719957428186455
588,0.5488160179095939,0.23323685652654524,1.0,0.41719957428186455
470,0.5487092904668404,0.23291344003335254,1.0,0.41719957428186455
705,0.5483721549206366,0.23189181716606858,1.0,0.41719957428186455
286,0.5481578016129731,0.23124226168830045,1.0,0.41719957428186455
740,0.547494367104888,0.22923185408804225,1.0,0.41719957428186455
445,0.5473158800984502,0.22869098437156435,1.0,0.41719957428186455
109,0.5470519633481226,0.2278912366432988,1.0,0.41719957428186455
259,0.5468923069537074,0.22740742938749506,1.0,0.41719957428186455
534,0.5467717441627966,0.22704208759685648,1.0,0.41719957428186455
376,0.5467334915974995,0.22692617073231977,1.0,0.41719957428186455
223,0.5466981082348911,0.2268189484213852,1.0,0.41719957428186455
71,0.5457263970944275,0.2238743692078591,1.0,0.41719957428186455
656,0.5456663479690967,0.22369240216140232,1.0,0.41719957428186455
657,0.545140688841208,0.22209949571325457,1.0,0.41719957428186455
104,0.5449108306260294,0.22140295566725873,1.0,0.41719957428186455
431,0.5443690291776196,0.21976113309632012,1.0,0.41719957428186455
365,0.5442342283989846,0.2193526458883353,1.0,0.41719957428186455
589,0.5431624905697575,0.2161049554967378,1.0,0.41719957428186455
504,0.5431428244368784,0.2160453611546803,1.0,0.41719957428186455
319,0.5429874898545196,0.2155746502990474,1.0,0.41719957428186455
73,0.542955318658604,0.21547716182657578,1.0,0.41719957428186455
54,0.5428534219336925,0.21516838387229856,1.0,0.41719957428186455
572,0.542404938002045,0.21380934165518492,1.0,0.41719957428186455
360,0.5420899061913209,0.21285469980450594,1.0,0.41719957428186455
430,0.5419785345592749,0.21251721001042712,1.0,0.41719957428186455
692,0.5404698531720423,0.48091262717882827,1.0,0.15226084177361462
737,0.5400026574794194,0.636371689331574,1.0,0.0
518,0.5399204291918366,0.20628052707879568,1.0,0.41719957428186455
550,0.5397260301303642,0.20569143901372813,1.0,0.41719957428186455
370,0.5396328522059686,0.2054090816670744,1.0,0.41719957428186455
51,0.5391519294265504,0.20395173991126206,1.0,0.41719957428186455
56,0.5390935979081848,0.20377497773439632,1.0,0.41719957428186455
682,0.5389730664430995,0.20340973087050165,1.0,0.41719957428186455
152,0.5383765237419922,0.20160202571563107,1.0,0.41719957428186455
558,0.5374847596011105,0.1988997101372017,1.0,0.41719957428186455
423,0.5372214282344219,0.19810173629875102,1.0,0.41719957428186455
352,0.5372097342704721,0.19806630004435816,1.0,0.41719957428186455
148,0.5369031415744537,0.1971372312685448,1.0,0.41719957428186455
379,0.5368362660748811,0.1969345782395366,1.0,0.41719957428186455
661,0.5368236835243199,0.19689644929844208,1.0,0.41719957428186455
487,0.5363933597579239,0.19559243788512085,1.0,0.41719957428186455
132,0.536163760306359,0.19489668197128815,1.0,0.41719957428186455
