dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
27,96191.0,8.325385128784891e-64,6.393895778906797e-61,2.3593711361279692e-63
28,164994.0,1.0357056929423848e-20,7.954219721797515e-18,1.5782181987693483e-20
29,107435.0,4.347342500283633e-55,3.3387590402178302e-52,1.0982760000716547e-54
30,96540.0,1.588006019337924e-63,1.2195886228515257e-60,4.418799358157701e-63
31,41011.0,4.257522539110715e-116,3.269777310037029e-113,4.138958620300037e-115
32,95565.0,2.60485500867073e-64,2.0005286466591205e-61,7.464659129325078e-64
33,218124.0,0.00043712895106551866,0.33571503441831835,0.0004958863137641335
34,191327.0,1.1195785122453553e-10,8.598362974044329e-08,1.4598239344727212e-10
35,127682.0,4.834530154409367e-41,3.7129191585863945e-38,9.980965480070952e-41
36,195702.0,2.3586727622490486e-09,1.8114606814072695e-06,2.9793761207356405e-09
37,100882.0,4.336780401361513e-60,3.330647348245642e-57,1.1564747736964035e-59
38,54047.0,2.5628089890383042e-102,1.9682373035814176e-99,1.6822541056251433e-101
39,245885.0,0.6327900977443246,1.0,0.6411382520681284
40,11837.0,3.9160764749466487e-150,3.007546732759026e-147,1.8797167079743916e-148
41,237420.0,0.1601989253415137,1.0,0.16693727905330058
42,113298.0,8.395467804202732e-51,6.447719273627698e-48,1.977827998045306e-50
43,182671.0,1.389176876875766e-13,1.0668878414405882e-10,1.9468756230667668e-13
44,63350.0,5.044005805223536e-93,3.8737964584116758e-90,2.49922352155592e-92
45,180566.0,2.3883209306981584e-14,1.8342304747761855e-11,3.3841890678527416e-14
46,69964.0,1.0893004939543652e-86,8.365827793569525e-84,4.571490597578975e-86
47,190746.0,7.344317718044197e-11,5.640436007457943e-08,9.674847354130262e-11
48,214665.0,9.810956054857817e-05,0.07534814250130803,0.00011296573088651879
49,154521.0,1.0818909708132707e-25,8.308922655845919e-23,1.760364969458881e-25
50,194343.0,9.374258502328282e-10,7.199430529788121e-07,1.20190826874593e-09
51,50451.0,4.96305118210059e-106,3.811623307853253e-103,3.700605153255585e-105
52,52970.0,2.0124654137534295e-103,1.545573437762634e-100,1.3924085024888593e-102
53,243898.0,0.48686400094472415,1.0,0.4978848904468018
54,54978.0,2.2858952926063605e-101,1.7555675847216848e-98,1.4629729872680706e-100
55,142415.0,3.7272069446537245e-32,2.86249493349406e-29,6.719471674868686e-32
56,68520.0,4.71600031843675e-88,3.621888244559424e-85,2.105748979395014e-87
57,218719.0,0.0005575633327537171,0.4282086395548548,0.0006297185875806687
58,212030.0,2.86861023739113e-05,0.022030926623163877,3.332969231946123e-05
59,159222.0,2.1874761628726802e-23,1.6799816930862183e-20,3.421551309747899e-23
60,130564.0,3.2443815001973906e-39,2.491684992151596e-36,6.539855622445134e-39
61,246312.0,0.6664225573457135,1.0,0.6716699790570971
62,124893.0,7.509218288735127e-43,5.7670796457485775e-40,1.5887271751373492e-42
63,237873.0,0.17547607125828535,1.0,0.18260924488667094
64,189234.0,2.406454967102038e-11,1.8481574147343654e-08,3.197504177741117e-11
65,193401.0,4.882692131402652e-10,3.7499075569172367e-07,6.29179120288127e-10
66,241494.0,0.3378344086644077,1.0,0.3487322928148725
67,32487.0,1.3858268688403954e-125,1.0643150352694236e-122,1.9351182459444067e-124
68,139904.0,1.3679970805227235e-33,1.0506217578414516e-30,2.5687573541355785e-33
69,219757.0,0.0008443309582509416,0.6484461759367232,0.0009494087495413223
70,69421.0,3.3547548524941596e-87,2.5764517267155147e-84,1.4474447902896148e-86
71,61364.0,5.70699773929517e-95,4.382974263778691e-92,3.065016967677406e-94
72,145125.0,1.2130296289135646e-30,9.316067550056175e-28,2.131823237999125e-30
73,46183.0,1.5913849595354176e-110,1.2221836489232007e-107,1.3430589548606602e-109
74,100108.0,1.075903775639307e-60,8.262940996909878e-58,2.8891402087097477e-60
75,154098.0,6.623995351105285e-26,5.087228429648859e-23,1.0823890275848638e-25
76,54310.0,4.760315998637848e-102,3.655922686953867e-99,3.098239565215142e-101
77,139815.0,1.2151064935272448e-33,9.332017870289241e-31,2.29287908360915e-33
78,127548.0,3.9661721865162174e-41,3.046020239244455e-38,8.210297140820633e-41
79,218542.0,0.000518843876702871,0.39847209730780486,0.0005877169576811281
80,187477.0,6.362637530696599e-12,4.886505623574988e-09,8.572816883464892e-12
81,105097.0,7.576580764237505e-57,5.818814026934403e-54,1.9460916478041483e-56
82,235631.0,0.10954732316920487,1.0,0.11540787955274258
83,137420.0,4.832257515216981e-35,3.7111737716866413e-32,9.301187397710881e-35
84,167148.0,9.325022688191254e-20,7.161617424530883e-17,1.3960267884075796e-19
85,16118.0,7.314334858422999e-145,5.617409171268863e-142,2.8087045856344315e-143
86,139773.0,1.1489748324865779e-33,8.824126713496917e-31,2.1734302249992407e-33
87,83213.0,1.1042367688607016e-74,8.480538384850189e-72,3.785954636093834e-74
88,228588.0,0.017731636699519823,1.0,0.01931616593649819
89,234537.0,0.08543553245733813,1.0,0.0905027433479113
90,111055.0,2.02051550505074e-52,1.5517559078789684e-49,4.910619961642305e-52
91,197643.0,8.486994597911177e-09,6.518011851195784e-06,1.054694474303525e-08
92,96518.0,1.5247271683332369e-63,1.1709904652799258e-60,4.2581471464724576e-63
93,152038.0,5.89264547315813e-27,4.525551723385444e-24,9.753344231434146e-27
94,140944.0,5.426343467716162e-33,4.167431783206012e-30,1.0017864863475992e-32
95,182969.0,1.774910740932361e-13,1.3631314490360533e-10,2.4829352441458166e-13
96,20594.0,1.8783579519034976e-139,1.4425789070618861e-136,5.548380411776485e-138
97,115600.0,3.614920425001655e-49,2.7762588864012706e-46,8.33711377297679e-49
98,183441.0,2.6109761255351027e-13,2.0052296644109589e-10,3.639255289312085e-13
99,144845.0,8.498794595077581e-31,6.527074249019582e-28,1.5004768388550763e-30
100,200538.0,5.280538436729065e-08,4.055453519407922e-05,6.499124229820387e-08
101,62103.0,3.0412527740976116e-94,2.3356821305069657e-91,1.58889940850814e-93
102,52977.0,2.046113777255769e-103,1.5714153809324306e-100,1.4030494472610986e-102
103,163913.0,3.3671085622046123e-21,2.5859393757731423e-18,5.141032556209031e-21
104,35168.0,1.4669696270825186e-122,1.1266326735993742e-119,1.788305831110118e-121
105,37357.0,4.058540341867856e-120,3.1169589825545133e-117,4.5173318587746566e-119
106,33099.0,6.846331860836855e-125,5.257982869122705e-122,8.911835371394414e-124
107,163122.0,1.4668171543246862e-21,1.126515574521359e-18,2.2575462415257693e-21
108,211920.0,2.720366775138711e-05,0.0208924168330653,3.165517701979591e-05
109,49819.0,1.0870604410440554e-106,8.348624187218346e-104,8.265964541800343e-106
110,141612.0,1.3059594586667736e-32,1.0029768642560822e-29,2.3823678485892684e-32
111,112794.0,3.6527633771949994e-51,2.8053222736857596e-48,8.68520827766489e-51
112,221499.0,0.0016486809129502404,1.0,0.001848448089263919
113,62143.0,3.328916338029101e-94,2.55660774760635e-91,1.7274376673015875e-93
114,39238.0,4.862337242151353e-118,3.7342750019722396e-115,4.979033335962986e-117
115,153056.0,1.9603368473731384e-26,1.5055386987825702e-23,3.23076973987676e-26
116,127212.0,2.411928600755642e-41,1.852361165380333e-38,5.006381528054955e-41
117,170198.0,1.9065285036843912e-18,1.4642138908296125e-15,2.7836765985353846e-18
118,115551.0,3.3388929941453137e-49,2.564269819503601e-46,7.723704275613256e-49
119,245109.0,0.5736076528679721,1.0,0.5827125362468288
120,137718.0,7.244686191390947e-35,5.563918994988247e-32,1.387510971318765e-34
121,141629.0,1.3353848943804817e-32,1.0255755988842099e-29,2.430273931005237e-32
122,30285.0,4.260677556103492e-128,3.2722003630874823e-125,6.677959924668331e-127
123,74111.0,7.816293357368943e-83,6.002913298459348e-80,3.1761446023594434e-82
124,225210.0,0.006126388346130332,1.0,0.006769879496155533
125,191195.0,1.017666575990203e-10,7.81567930360476e-08,1.333733669557126e-10
126,24985.0,3.016531428660385e-134,2.3166961372111757e-131,6.435267047808822e-133
127,113363.0,9.344610989007072e-51,7.176661239557431e-48,2.1946976267759727e-50
128,84413.0,1.2175473492925716e-73,9.35076364256695e-71,4.101212123932873e-73
129,203285.0,2.734218790260715e-07,0.00020998800309202293,3.296514962198162e-07
130,205541.0,9.882929031305988e-07,0.0007590089496043,1.1822569308478191e-06
131,128126.0,9.302251556482352e-41,7.144129195378447e-38,1.9101949720263226e-40
132,101930.0,2.830897178839345e-59,2.1741290333486168e-56,7.420235608698351e-59
133,229026.0,0.020166779040988483,1.0,0.021875828112258692
134,183593.0,2.954892253082367e-13,2.2693572503672579e-10,4.1037201634127626e-13
135,195471.0,2.019361825294268e-09,1.550869881825998e-06,2.5549750936177886e-09
136,133989.0,4.2287083247277225e-37,3.247647993390891e-34,8.370226787089925e-37
137,160216.0,6.499667984150341e-23,4.9917450118274616e-20,1.0125243431698705e-22
138,112640.0,2.830897265431005e-51,2.1741290998510116e-48,6.751953726245379e-51
139,71401.0,2.41750282256631e-85,1.856642167730926e-82,9.981947138338312e-85
140,145269.0,1.4560560022710151e-30,1.1182510097441397e-27,2.553084497132739e-30
141,95268.0,1.4985112594878384e-64,1.1508566472866598e-61,4.310324521672883e-64
142,244578.0,0.5346846067082542,1.0,0.5453356944912872
143,65909.0,1.5153706552419794e-90,1.16380466322584e-87,7.139905909360982e-90
144,142818.0,6.290792088094321e-32,4.8313283236564385e-29,1.1288150288916913e-31
