Dimension,Importance_Score,Mean_Difference,Std_Difference,Median_Difference,Max_Difference,Q75_Difference
1,0.11492583494199429,0.11156057671853391,0.09687500078227654,0.08858495999999999,0.672100072,0.15684367575000002
2,0.12962998725132208,0.11612760591868798,0.09637029108915611,0.09738516800000002,0.674199223,0.16246886500000002
3,0.07258125917352896,0.10221475927760164,0.09120498710558166,0.07569227,0.543613747,0.135986136
4,0.038205173871741945,0.08813649771505125,0.07643789853033602,0.06811804729999998,0.5627908702000001,0.122526880675
5,0.0883801342151376,0.10654090935459593,0.09053563244531806,0.08310466999999999,0.56409024835,0.145829163775
6,0.08767487848003426,0.10598732918772433,0.08783756227299888,0.082495451,0.5397733147,0.159068862025
7,0.1091594608279455,0.114454324427188,0.09714214061868305,0.0876201187,0.608169556,0.146985367885
8,0.17622677296100506,0.1354181671640899,0.11679709039849137,0.102934003,0.659994547,0.19038778499999998
9,0.07067716705222801,0.10268715826338391,0.08244372509287176,0.08025032,0.4688045608,0.15174867775
10,0.11718670542201595,0.11369206716465785,0.09023279887782573,0.096505016,0.6251636599,0.15871927100000005
11,0.06511024520989657,0.10145670625675021,0.08167326725452742,0.08015855389999998,0.48996717889999997,0.13462953475
12,0.055973510735552484,0.09702218183778304,0.08222077938630176,0.07264905399999999,0.5137126597,0.13590703900000004
13,0.11179702036571049,0.1149175366154053,0.09073775129966755,0.0978999716,0.526302233,0.15695724434999997
14,0.09506780076359957,0.10705511486103787,0.08798729237671922,0.09100860400000002,0.5435299910000001,0.15223413725000007
15,0.058032470921925566,0.09961513997888576,0.07952897162464168,0.0782108755,0.427194566,0.14439655424999998
16,0.09604635798152887,0.10662659099348212,0.09312691813499768,0.0819356285,0.622983351,0.15336039407500002
17,0.051865026284161814,0.09553033735959508,0.07698497918876439,0.07762927095,0.473272205,0.13396397785
18,0.024230008472645944,0.08131561541527109,0.06872112240053908,0.06405386299999999,0.611675173,0.11697167747500001
19,0.12258158414196729,0.11548723853763984,0.10127439922018192,0.09480000961,0.574794501,0.164664243375
20,0.07051090733887366,0.09851311255442732,0.08129546234176867,0.0821721356,0.56569466,0.13757874809999998
21,0.06613819080823044,0.09774175683439698,0.08386965716403463,0.07687892600000001,0.544230118,0.1421610921
22,0.06795619644025516,0.09999877016927092,0.07921742894918371,0.08176283555,0.525322944,0.14009896035
23,0.057355358488182656,0.09991787011929014,0.07740146909746894,0.079270214,0.4471493366,0.13741654199999997
24,0.09137998282794824,0.10663215677300991,0.08865471994914949,0.08827641600000002,0.5526997399999999,0.14636746099999998
25,0.0536468056985585,0.09418541646895297,0.08307615626031518,0.07445516479999999,0.49606603359999996,0.1353240482
26,0.05281698030066876,0.09280974677209705,0.07910969027939303,0.07290243775000001,0.551899224,0.1362276502
27,0.09105762158810447,0.10911274723078786,0.08008584435070866,0.09418355,0.491742147,0.1524040754
28,0.04586301653735471,0.09632749304269997,0.0814702647740412,0.07347652694999997,0.41409725539000003,0.13006686315
29,0.07846338318320119,0.10332787610780166,0.08388368713471944,0.0833399815,0.512744799,0.15112736049999997
30,0.09031214671025188,0.10726470595449414,0.08503678351724059,0.08599357250000003,0.5760023,0.14935394165
31,0.08513837127744298,0.10793872940192015,0.0814181610329308,0.091917515,0.47421308500000003,0.145881117
32,0.056316070441530634,0.09855313877322627,0.07808452310698831,0.08079378340000001,0.4165062061,0.1404441703
33,0.11757271832514898,0.11273119050219699,0.09503403828264709,0.09539619850000003,0.6241102814,0.1567909859
34,0.07169564611951552,0.10292108056612786,0.08125838044852352,0.0854920897,0.483885795,0.1370991073
35,0.11737052197228164,0.11539021580534234,0.09511517456702345,0.09566961300000001,0.541201338,0.16702540200000002
36,0.03745726292540946,0.09206500317815877,0.07267715207913815,0.0755477024,0.414549589,0.1296566497
37,0.08695147014836116,0.10904187865646559,0.08390404229940333,0.09201569665,0.4478137344,0.149108663425
38,0.12737025678578343,0.1130937472775652,0.1029395010439552,0.0897454209,0.740332678,0.15813100835
39,0.10005029529142546,0.10762860571949986,0.09332167390984784,0.08350500449999998,0.6452166730000001,0.15204328300000003
40,0.10784057034594988,0.11027376168105933,0.09062342794628539,0.09020683857499999,0.6669660834,0.1479871123
41,0.08244595539380324,0.1062718308807698,0.08981319366887112,0.08010792699999997,0.501077086,0.1541585264
42,0.07205430141237534,0.10344389431847002,0.08424247945781886,0.08249683699999999,0.45193131999999997,0.1473174162
43,0.11511984061788916,0.10949835040024422,0.09590332823665132,0.086562503805,0.7410664929999999,0.1552033197
44,0.09857720946681003,0.108148814358286,0.09271538865761844,0.0852094068,0.6062019909999999,0.151529108975
45,0.09304209193581932,0.10494583351279214,0.08825787655416112,0.08363518449999999,0.6559174135,0.1461981454
46,0.06557368674663208,0.09961386749371011,0.07431386683806294,0.0836665925,0.492674276,0.1465307175
47,0.16535312236187724,0.13276104481704346,0.11592860594037728,0.10257354400000002,0.5693567989,0.1903395231
48,0.06405787549503424,0.10028843529939975,0.0839585831637629,0.0767023715,0.510454446,0.13569219262749999
49,0.09409076266487972,0.10830702651889304,0.08890799705687912,0.09061920600000001,0.5070873499999999,0.1532851569
50,0.0931196711067326,0.1073265426668,0.09170856401005398,0.086385667,0.537794903,0.15265382172500003
51,0.04728169226962504,0.094080867206325,0.07689026919133768,0.07651594299999998,0.4434721056,0.13527257799999998
52,0.0841714250705039,0.1028409344690722,0.0910132923483623,0.08528994965,0.531680301,0.14552268399999996
53,0.1545274824514888,0.1258271374028292,0.10451812776553651,0.09654947,0.723550975,0.18232015107499996
54,0.08462209715373722,0.10576476963889866,0.08600807399789612,0.08470566439999999,0.4896640419,0.1598518343
55,0.05999262850615412,0.09661028938765277,0.08023964389557275,0.07332039965,0.541156277,0.145393357
56,0.08732855213466109,0.10855247311230282,0.09062461046133097,0.08298993100000002,0.502007708,0.151439547
57,0.07983069032655657,0.10740290495659026,0.08210100659022462,0.08837705120000001,0.42839843,0.15148510280000002
58,0.10342998836782748,0.11427097300398982,0.09161715268590978,0.09214231399999998,0.48169156562,0.159091438775
59,0.054323333560472836,0.09266086389586908,0.08458918086905039,0.06990039299999995,0.6118333377999999,0.1240199205
60,0.057193321844325774,0.09820194387378606,0.08193702557088116,0.07625334916,0.454172179,0.140566507475
61,0.08897217795439406,0.10904904097531404,0.08855936651658743,0.08882206700000003,0.43973231479999997,0.15748846500000002
62,0.08011196426047773,0.10286591642917187,0.08289866392288661,0.08265132275,0.573042244,0.14690260909999997
63,0.06653801893135156,0.1000570099922085,0.0851960588617265,0.07437393800000001,0.5334862170000001,0.1430471819625
64,0.1342438458309375,0.11738649598566997,0.10383020496390506,0.09140138719999996,0.7348014921,0.16010767199999998
65,0.10165285034670683,0.11143468833954621,0.09163168023117747,0.08547810554999999,0.5633751154,0.16247606275
66,0.08392339480760005,0.10567892403527325,0.08853974670009696,0.0814733575,0.5164018196,0.155596882
67,0.13622939824220245,0.11657467338389509,0.09463576539228093,0.09928778590000001,0.7664383349999999,0.15672624205000002
68,0.18094299653012438,0.13640167433574898,0.11554187262028259,0.10464298214999998,0.713129908,0.186230585
69,0.1042651788027046,0.11227826713346006,0.09274587163186902,0.09004068299999995,0.548047513,0.155774564
70,0.14754390363595493,0.11900303710065492,0.09957588210689079,0.1016390864,0.7744849629999999,0.165298549
71,0.05878993445339547,0.09153420091219999,0.0757154271846546,0.07582500500000006,0.657058657,0.13147702849999998
72,0.09395632766331379,0.108955029883224,0.08681643265535689,0.08991385240000001,0.5188526249000001,0.15417902899999997
73,0.05951779922860533,0.09553252269011601,0.08016508773262655,0.07892724100000002,0.5368570816999999,0.1318875675
74,0.10976682377991637,0.1118597164242173,0.09369137387475689,0.0878772884,0.604138821,0.165225774
75,0.06625186179392369,0.09902833940842706,0.08788196720579117,0.07979856265,0.498594851,0.13247567775
76,0.12772814432333401,0.11897347374738015,0.09809891973148792,0.09197275299999999,0.635576322,0.1691222978
77,0.10456665287603407,0.10692188323926154,0.08893085080084273,0.08456675699999999,0.7357127753,0.15207720549999998
78,0.06274153753361855,0.09248292972861297,0.0866500791456607,0.07274366899999998,0.6614959499999999,0.12621100224999998
79,0.0454938953534651,0.0946796319213452,0.07537411493423621,0.0787254497,0.42353854300000005,0.129046932
80,0.07973157928352127,0.10649661981822307,0.08283243217285895,0.08689058123849999,0.474721178,0.14550815869999997
81,0.11874412708838057,0.11418878428444776,0.09501554932624826,0.08753143815,0.7240865529999999,0.15408545570999999
82,0.1076382510858579,0.11031776766526011,0.09277238729126233,0.08846980300000001,0.6592805979999999,0.14986648375
