Dimension,Importance_Score,Mean_Difference,Std_Difference,Median_Difference,Max_Difference,Q75_Difference
1,0.14216345163718772,0.27577010432542676,0.20652187956697773,0.23796064449999998,1.210716486,0.387910089725
2,0.08048293677824522,0.23602388808449964,0.18310108536022862,0.19996113246000002,1.1594740749999999,0.337694393725
3,0.13430161003876565,0.27512979130996934,0.20694145382952475,0.23310211695,1.008553475,0.40257017542499995
4,0.020585320805806065,0.20328046144278003,0.15277934446498406,0.1719586049,1.000160873,0.29338772225
5,0.14754837113094163,0.2801317980321774,0.20794025970364896,0.24754280405,1.073065191,0.40734184175
6,0.15190836782502004,0.28576342255905574,0.21432260050757743,0.2353983395,1.096724749,0.420999922
7,0.07257581689471088,0.23629887801737692,0.1843269796102902,0.1946306183,0.995831474,0.340448138725
8,0.19298434071409132,0.31347874709497103,0.22858405185566683,0.267719045,1.116138847,0.441271250925
9,0.1608851564291088,0.2786615327591245,0.20607932795022313,0.2418940885,1.505166471,0.405000737
10,0.1326246994827325,0.27356313326669807,0.20967879163149522,0.2212558765,1.10121268,0.39905704950000004
11,0.047284883377326656,0.22367034730725896,0.16702057304820808,0.18842023627,0.859130085,0.331088605775
12,0.12108973618278968,0.2644490596977415,0.20420374908892097,0.220132028445,1.099024072,0.38190850997500003
13,0.05601439279752372,0.22634961687937588,0.17719296056211922,0.18549746314999999,1.0143282710000001,0.31759885714999997
14,0.11624226106619656,0.2564913181270438,0.19746035623921185,0.21780628700000002,1.299912751,0.35817647324999996
15,0.08645801893195432,0.24519505945969802,0.18292685662178082,0.20459728649999998,1.014784038,0.36293360975
16,0.054351022807381695,0.2280737169882931,0.17201943660350674,0.191809174145,0.8665363566,0.33363332965
17,0.10623711896572285,0.2534465042686469,0.19624686369217811,0.208581345,1.151358455,0.37105220715000004
18,0.07746006337593045,0.23941814446169538,0.18599207932976883,0.19916511339999998,0.967887283,0.34832042930999996
19,0.042425141802607126,0.22111746310601707,0.1580484596540225,0.19564591914999999,0.8835513,0.313131274925
20,0.08430129136790337,0.24592298465938903,0.18261185532467472,0.20636437740000002,0.939546437,0.3625817515
21,0.0867709913500481,0.24366870616204087,0.18516986166893057,0.2047855108,1.089730233,0.34715374685
22,0.07029873681350851,0.23739276309127894,0.17475030480273127,0.2092345841,0.8391924500000001,0.34865260613750004
23,0.051786147534452064,0.22399360093594806,0.17294903342183582,0.1835548505,1.014976188,0.316976319725
24,0.11730583533639242,0.25748882014955315,0.1936508103983758,0.221648112,1.24718405,0.37235936155
25,0.07061677912175345,0.23359716942889097,0.17957284233296325,0.19742695999999998,1.057157473,0.32996299525
26,0.06342424962900302,0.22860981816848405,0.17318924683165787,0.19508523879999998,1.0760584020000001,0.32373391325
27,0.07717016698424373,0.23479889199834483,0.18185252473066338,0.20290500320000002,1.077597648,0.337947691175
28,0.1311818258207362,0.2676226491180619,0.20703062991554083,0.2233135806,1.163612247,0.3969125945
29,0.061389671273553284,0.22606308542845965,0.17297833694200163,0.193943534,1.088659436,0.320968454425
30,0.054690803156193506,0.22409502940881187,0.1674329341920165,0.19454507885,0.994557839,0.3240951665
31,0.0753260341731109,0.2420568367356674,0.18100302895586576,0.20718191960000001,0.902336925,0.33747494497499997
32,0.08821825623156299,0.24189835265440363,0.19135328239019206,0.2011871228,1.122701347,0.34608595885
33,0.08918082623449608,0.24671730085387897,0.1867376692124351,0.21123462185000003,0.962826967,0.35953350625
34,0.12152375670388296,0.26534078796410815,0.20608073092438087,0.22308500265000003,1.09612453,0.37105130750000004
35,0.10445154057195984,0.2555574673247006,0.19410411077144785,0.21603070350000003,1.058220506,0.3639184454
