Epoch,Loss
0,0.037588419509120286
1,0.02527480505523272
2,0.02098299394128844
3,0.020151341159362346
4,0.01997772406321019
5,0.019887159462086856
6,0.019722479570191354
7,0.01952913388959132
8,0.019389527500607073
9,0.019005543377716094
10,0.018898864975199103
11,0.01850671725696884
12,0.01815873058512807
13,0.01801017066463828
14,0.01767809016746469
15,0.017519752902444452
16,0.01730393953039311
17,0.017042870254954323
18,0.01692806076607667
19,0.016671799821779132
20,0.01658023044001311
21,0.01651568300439976
22,0.016203513980144635
23,0.015949029912007973
24,0.015757104993099347
25,0.015662028774386272
26,0.015592379204463214
27,0.015630452951882035
28,0.015406817547045648
29,0.0151891233981587
30,0.015090373781276867
31,0.015157067449763417
32,0.01485848572338
33,0.014808081468800083
34,0.014758538047317415
35,0.014661874854937196
36,0.014616544591262937
37,0.014522569894324988
38,0.014407888636924326
39,0.014293020503828302
40,0.014252900873543695
41,0.014284019183833152
42,0.014165892411256209
43,0.014018768182722852
44,0.01404747084598057
45,0.013915689283749089
46,0.013791906094411388
47,0.013828569906763732
48,0.013675327209057286
49,0.013664024969330058
50,0.013639158831210807
51,0.01364144595572725
52,0.013346677355002612
53,0.01347609524964355
54,0.01334332930855453
55,0.013248036586446688
56,0.013377195253269747
57,0.01332178950542584
58,0.013241408742032945
59,0.013229256757767871
60,0.01321639379602857
61,0.013068741449387744
62,0.013036418065894395
63,0.01306131124147214
64,0.013035350479185581
65,0.012956664722878486
66,0.013054155569989234
67,0.012863719108281657
68,0.012894640734884888
69,0.012834310531616211
70,0.01297353275003843
71,0.012764897954184562
72,0.012717650330159813
73,0.012840268755098805
74,0.012664715643040836
75,0.01268135430291295
76,0.012724845961201936
77,0.012659643893130124
78,0.012613313068868592
79,0.01255732963909395
80,0.01266679193940945
81,0.012544394267024472
82,0.012549573846627027
83,0.012534629815490916
84,0.012475216091843322
85,0.012500845303293318
86,0.012458895333111286
87,0.012426615925505757
88,0.01249600003939122
89,0.01243320814683102
90,0.012462750222766772
91,0.012437510158633813
92,0.012489307671785355
93,0.012431715236743912
94,0.012515069916844368
95,0.012386251037241891
96,0.012323213770287111
97,0.012330614874372259
98,0.012389360257657245
99,0.012343141657765955
