dimension,edi_score,mi_score,wilcoxon_score,rfe_logistic_score
390,0.8432839487452803,0.5251028749856981,1.0,1.0
243,0.8144344634485999,0.5924009952400989,1.0,0.8498298088804919
411,0.7964919369447843,0.921471886098623,1.0,0.47766533685952567
735,0.7924111906660473,0.5775707393415371,1.0,0.7994495490686467
304,0.7790698618327536,0.5556033847454805,1.0,0.78153160254925
168,0.7418226183521561,0.3983821255555437,1.0,0.8245779909377254
649,0.7189063003881184,0.6863638965329684,1.0,0.47766533685952567
505,0.7170429761229034,0.6807174593656502,1.0,0.47766533685952567
97,0.7094682592746431,0.6577637719466797,1.0,0.47766533685952567
463,0.7048643073492749,1.0,1.0,0.13195384514492603
512,0.6935492239477596,0.609524270956124,1.0,0.47766533685952567
252,0.681917283206328,0.5742759656790581,1.0,0.47766533685952567
314,0.6799826977850392,0.568413585614547,1.0,0.47766533685952567
160,0.6799055337850677,0.5681797553116031,1.0,0.47766533685952567
172,0.6774389836353905,0.5607053609186415,1.0,0.47766533685952567
478,0.675087327092097,0.5535791289692675,1.0,0.47766533685952567
382,0.6688404390664138,0.5346491652550758,1.0,0.47766533685952567
580,0.6683083825449752,0.5330368727658682,1.0,0.47766533685952567
312,0.6667398156987965,0.52828363989866,1.0,0.47766533685952567
567,0.6664407505035572,0.5273773817312681,1.0,0.47766533685952567
395,0.6624930754688207,0.5154147301108543,1.0,0.47766533685952567
457,0.6616781817038777,0.8252544606300796,1.0,0.17454179322338656
310,0.6616558668716235,0.5128777343617721,1.0,0.47766533685952567
657,0.6525307663010587,0.48522591445096924,1.0,0.47766533685952567
479,0.6520386838748637,0.48373475558371215,1.0,0.47766533685952567
340,0.6462662361642835,0.46624248979407507,1.0,0.47766533685952567
548,0.6433963878178921,0.4575459796534948,1.0,0.47766533685952567
294,0.6422674393433918,0.45412492367016066,1.0,0.47766533685952567
367,0.6368031845081128,0.43756657568446655,1.0,0.47766533685952567
730,0.6352826182851921,0.4329587992513733,1.0,0.47766533685952567
42,0.635252207308999,0.4328666447780615,1.0,0.47766533685952567
423,0.6292578908647364,0.41470204949241707,1.0,0.47766533685952567
