dimension,edi_score,mi_score,wilcoxon_score,rfe_logistic_score
663,0.8347169917485081,0.518191247031033,1.0,0.9815114124360799
686,0.8097927984600043,0.5507424544884963,1.0,0.8766111425847074
269,0.8038592138047147,0.47856892874527684,1.0,0.9292101979963919
139,0.7836037569467432,0.4958774911994184,1.0,0.852835837796868
441,0.77328645375913,0.3129892538155455,1.0,1.0
398,0.7397582942047362,0.7090759802141193,1.0,0.5169506492178728
442,0.7329495295190814,0.29344932807802987,1.0,0.9003272095686221
319,0.7306928381845543,0.37546493604472597,1.0,0.8140864979111607
661,0.725718286284208,0.19529719080061744,1.0,0.974324156823542
15,0.7159988466768402,0.6370776543720104,1.0,0.5169506492178728
538,0.6981603316111351,0.5830215481122979,1.0,0.5169506492178728
306,0.6915565818694317,0.5630101852586512,1.0,0.5169506492178728
580,0.6805691018858149,0.5297147913689031,1.0,0.5169506492178728
330,0.6707942545226085,0.5000940417834296,1.0,0.5169506492178728
534,0.6706802890455763,0.4997486918530287,1.0,0.5169506492178728
479,0.6706500218851893,0.4996569731851895,1.0,0.5169506492178728
291,0.6661470927196044,0.48601173328947755,1.0,0.5169506492178728
492,0.6633571557008252,0.4775573786871164,1.0,0.5169506492178728
264,0.6616035207231126,0.47224333330010826,1.0,0.5169506492178728
732,0.6595870209717027,0.18714404212046112,1.0,0.7877337855057366
180,0.6535006572673427,1.0,0.44768920161595743,0.5169506492178728
706,0.6533189354315627,0.447138529386321,1.0,0.5169506492178728
163,0.6467277275600166,0.4271651721998176,1.0,0.5169506492178728
74,0.6440758678433656,0.41912923366451155,1.0,0.5169506492178728
26,0.6431563463056631,0.13355012463227392,1.0,0.7914258975794488
422,0.6424243086703125,0.41412450889768404,1.0,0.5169506492178728
28,0.6399961404470563,0.40676642337266533,1.0,0.5169506492178728
498,0.6363395126573766,0.3956857331009087,1.0,0.5169506492178728
577,0.6351823525782783,0.3921791874066712,1.0,0.5169506492178728
340,0.6338259228476905,0.3880687942836778,1.0,0.5169506492178728
113,0.6242239572490994,0.35897192883340184,1.0,0.5169506492178728
62,0.623534989194537,0.3568841468498792,1.0,0.5169506492178728
191,0.623444914946055,0.14599722859925535,1.0,0.7213700867891198
157,0.6225949609300527,0.35403557635144217,1.0,0.5169506492178728
332,0.620304948577401,0.3470961449797703,1.0,0.5169506492178728
423,0.6177947525994077,0.339489490501003,1.0,0.5169506492178728
205,0.6165628932859867,0.33575658349063586,1.0,0.5169506492178728
665,0.6148443842760515,0.3305489804302263,1.0,0.5169506492178728
600,0.6109511278271036,0.31875123361523283,1.0,0.5169506492178728
762,0.6103711396708904,0.31699369374792014,1.0,0.5169506492178728
371,0.6100740193705688,0.3160933292014911,1.0,0.5169506492178728
60,0.6099200792595245,0.31562684401650815,1.0,0.5169506492178728
140,0.608737721296061,0.3120439410969218,1.0,0.5169506492178728
219,0.6072446864469159,0.30751959306920934,1.0,0.5169506492178728
11,0.606935611236916,0.30658300152375506,1.0,0.5169506492178728
25,0.6065414283013933,0.3053885077797472,1.0,0.5169506492178728
76,0.6055401820475642,0.30235442822268904,1.0,0.5169506492178728
30,0.6052969498600641,0.3016173609878404,1.0,0.5169506492178728
176,0.6051810424991692,0.3012661265608859,1.0,0.5169506492178728
525,0.6051705547760982,0.30123434558188295,1.0,0.5169506492178728
246,0.6047795026066335,0.3000493390077477,1.0,0.5169506492178728
468,0.6040175760629266,0.29774047069348436,1.0,0.5169506492178728
530,0.6033410677348071,0.29569044545675843,1.0,0.5169506492178728
556,0.6014169280442138,0.2898597191216273,1.0,0.5169506492178728
409,0.6002061897254226,0.2861908151252903,1.0,0.5169506492178728
34,0.5985657526620564,0.28121979372115014,1.0,0.5169506492178728
752,0.5979783073154187,0.27943965630709666,1.0,0.5169506492178728
274,0.5975751589000313,0.27821799444228656,1.0,0.5169506492178728
16,0.5975122435731253,0.2780273419365106,1.0,0.5169506492178728
381,0.5967647650252337,0.2757622554277482,1.0,0.5169506492178728
542,0.5958260177433985,0.2729175666949143,1.0,0.5169506492178728
505,0.5949049318472233,0.27012639731256516,1.0,0.5169506492178728
378,0.5947091527623524,0.2695331273584109,1.0,0.5169506492178728
152,0.5943289863125835,0.2683811078136565,1.0,0.5169506492178728
481,0.5941335680271406,0.26778893119110236,1.0,0.5169506492178728
460,0.5931085618533153,0.26468285187648033,1.0,0.5169506492178728
485,0.5931050436444331,0.26467219063744307,1.0,0.5169506492178728
42,0.5929036392816198,0.2640618743864941,1.0,0.5169506492178728
440,0.591826168632572,0.2607968118136217,1.0,0.5169506492178728
334,0.5914149640361643,0.2595507372790531,1.0,0.5169506492178728
667,0.5913719146204284,0.25942028450409577,1.0,0.5169506492178728
407,0.591278566383241,0.25913741105807353,1.0,0.5169506492178728
547,0.5909864362123848,0.2582521681160848,1.0,0.5169506492178728
463,0.5889014775149837,0.2519341114572936,1.0,0.5169506492178728
394,0.5875582664493368,0.24786377489472725,1.0,0.5169506492178728
721,0.5873526343172492,0.24724064722173458,1.0,0.5169506492178728
85,0.5864705243479207,0.24456758670861795,1.0,0.5169506492178728
284,0.5859394189830711,0.2429581765121039,1.0,0.5169506492178728
635,0.5857431167111035,0.24236332114250494,1.0,0.5169506492178728
666,0.5856706368334665,0.24214368514966578,1.0,0.5169506492178728
699,0.5841188940271617,0.2374414342214694,1.0,0.5169506492178728
632,0.5837897991030037,0.2364441768755358,1.0,0.5169506492178728
528,0.5826853345222497,0.23309731450961493,1.0,0.5169506492178728
145,0.5822300789608182,0.23171775220224688,1.0,0.5169506492178728
464,0.5808948831703404,0.22767170435231404,1.0,0.5169506492178728
443,0.5806355274474343,0.22688577791926529,1.0,0.5169506492178728
178,0.5805324415933517,0.22657339654325728,1.0,0.5169506492178728
182,0.5798354036152956,0.22446116024611754,1.0,0.5169506492178728
194,0.5790027109267877,0.2219378490688207,1.0,0.5169506492178728
323,0.5788546194556158,0.2214890870349665,1.0,0.5169506492178728
659,0.5773874685264707,0.21704317512846658,1.0,0.5169506492178728
385,0.5762650771289026,0.21364198907522974,1.0,0.5169506492178728
114,0.5762504528380235,0.21359767304226246,1.0,0.5169506492178728
110,0.5759214033031693,0.21260055323967422,1.0,0.5169506492178728
241,0.5758879092884901,0.212499056225495,1.0,0.5169506492178728
476,0.5755174193918355,0.21137635956896586,1.0,0.5169506492178728
173,0.5754101705318441,0.21105136302353705,1.0,0.5169506492178728
356,0.5753876237835615,0.2109830395438929,1.0,0.5169506492178728
457,0.5750305082984865,0.209900871407302,1.0,0.5169506492178728
133,0.5746285597960077,0.20868284564221481,1.0,0.5169506492178728
353,0.5745384600928483,0.20840981623870153,1.0,0.5169506492178728
373,0.5739379146253637,0.20658998148874824,1.0,0.5169506492178728
99,0.5736044929326259,0.20557961272287614,1.0,0.5169506492178728
652,0.5735309043144512,0.20535661691022553,1.0,0.5169506492178728
262,0.5733093326635768,0.20468518766515142,1.0,0.5169506492178728
104,0.5732193853998825,0.20441262019941106,1.0,0.5169506492178728
641,0.5731869739434512,0.20431440366477083,1.0,0.5169506492178728
132,0.5731702091747201,0.20426360133528257,1.0,0.5169506492178728
605,0.5726647305155057,0.6268413869345524,1.0,0.1053149200797157
411,0.5725714858013179,0.20244928808254892,1.0,0.5169506492178728
339,0.5717317950748247,0.1999047707295392,1.0,0.5169506492178728
170,0.5713438111618038,0.19872906190220296,1.0,0.5169506492178728
69,0.5712475987973231,0.1984375092825647,1.0,0.5169506492178728
107,0.5706487220812616,0.19662273135510533,1.0,0.5169506492178728
619,0.5704092081272563,0.1958969314944832,1.0,0.5169506492178728
616,0.5701112718002231,0.1949940941398375,1.0,0.5169506492178728
