Dimension,Importance_Score,Mean_Difference,Std_Difference,Median_Difference,Max_Difference,Q75_Difference
1,0.0812302346138672,0.12656682106984687,0.10111107493411653,0.09974961355,0.539456158,0.18860925
2,0.057457155673625436,0.113075877643913,0.08790591783932784,0.09861033414999999,0.585994422,0.164026551
3,0.07468751925933292,0.12453212405709499,0.09359568814371802,0.10972975715000001,0.5148605783,0.1732810061
4,0.13294619565331361,0.14598676716897416,0.11054972254377803,0.12949191599999998,0.74046433,0.21056683329999998
5,0.15027157363544874,0.15913577876164578,0.11471865187483542,0.14234597655,0.65124099,0.2194153106725
6,0.25479564184379105,0.20973139385682613,0.1325280449025996,0.20173551325,0.7096257508999999,0.3029268165
7,0.06297461786938437,0.11709701897641402,0.09125567204572096,0.094517061,0.644706562,0.16218730799999997
8,0.23344182134511166,0.1969161166091998,0.14342164384748415,0.167189106,0.8104059140000001,0.2771360289999999
9,0.06132187268007595,0.11627806027911274,0.09552959770334288,0.09104819250000001,0.58599168,0.16423633150000003
10,0.25366052123627236,0.2168633425377414,0.12969895370810713,0.20166266900000002,0.6389839905,0.2993347503
11,0.16427190955146753,0.16562143963577597,0.12073883460515841,0.146476642,0.6296379750000001,0.23477014645
12,0.12004300814662446,0.14603147436825778,0.10649084953011494,0.12246444899999992,0.638794184,0.204740713475
13,0.04126867420412194,0.11026039852181013,0.08262066034503246,0.09551456154999999,0.44880200431,0.15530613705
14,0.0668888727183173,0.12008235922476004,0.09441154379632252,0.09988732600000003,0.5383719281,0.169039875
15,0.22000935162108062,0.19883660197637196,0.11781370667966097,0.18888380370000002,0.6489253268,0.27636688667500003
16,0.10630194097307222,0.13989717869106402,0.10103551835365153,0.12196943915000001,0.545309719,0.2022132933
17,0.3810602852780171,0.28329833362600654,0.14280218736435057,0.2834043635,0.799101129,0.37478242529749994
18,0.031827644798485946,0.10610583776783485,0.07785110880119876,0.09415265277999998,0.4312568937,0.149538454725
19,0.12779527662654874,0.14860011106873827,0.10768506181354648,0.13095500365,0.6182772281,0.210810328175
20,0.05905974588642961,0.1166152655857279,0.08979116353153815,0.09845886355,0.488035128,0.1738577497
21,0.09837316374179314,0.13403985490175466,0.10055551012797101,0.1151508091,0.6257531190000001,0.18784233439999998
22,0.17740428742875128,0.17222071609728362,0.11747402694993772,0.1530634194,0.6447940799,0.26104852757499997
23,0.004464500084319149,0.09212151986506877,0.07209457525722915,0.07522426605,0.45242177,0.13330405198
24,0.09425262417779276,0.12785825848317006,0.11017615245332557,0.09794366175000001,0.6911174950000001,0.185661382675
25,0.09720616269032846,0.13757909290472883,0.09373752480601978,0.12309807550000003,0.5132266209999999,0.19726511474999997
26,0.06707443771023548,0.11945360674511096,0.09856678216727831,0.09395302996499999,0.5492662479999999,0.170174066525
27,0.14843320731377643,0.1651361304618389,0.10404517930605492,0.14831758414500001,0.5844043755,0.2255253423
28,0.044090692716167064,0.11054203795151918,0.08619119355933814,0.089275092,0.4833192302,0.16225904225
29,0.13243644925455006,0.14581600792579993,0.11294974831596086,0.124849222,0.7708477380000001,0.20609409025
30,0.05478634362270719,0.10997848734770604,0.08940902141128736,0.08902486030000001,0.6787003914,0.1606478545
31,0.1650250557531917,0.1648254578299643,0.11527279356370607,0.14854019899999998,0.7054073527000001,0.2370675826
32,0.09231772426526949,0.13411984354948558,0.09358980011392991,0.121956512,0.48298457279999996,0.19639136565
33,0.09625748580277442,0.13654660819898423,0.0955905319194522,0.12130085369999999,0.474617183,0.20239995225
34,0.24720013447658434,0.2040092167095251,0.13715035677164583,0.1889714911,0.784734093,0.28842266429999996
