Dimension,Mutual_Information
1,0.00816661512629848
2,0.01719139969177407
3,0.022113216324204397
4,0.007261089067988898
5,0.009935981218107874
6,0.007780396515811576
7,0.4511462942791691
8,0.01719242897974229
9,0.037971681509582494
10,0.007618146811871666
11,0.015130082148748579
12,0.006348814431976317
13,0.01564024195007533
14,0.01408681355810392
15,0.010321667284462883
16,0.017498035003078803
17,0.01590487160021064
18,0.006859298964019565
19,0.011331966892349131
20,0.2472002154910415
21,0.01761839028448383
22,0.00857994687746929
23,0.0038319229895883086
24,0.023961010788778624
25,0.00399289592185139
26,0.008330234796372758
27,0.01365535634267568
28,0.013019452597230134
29,0.004981776085181598
30,0.010567879227254807
31,0.02820460988373901
32,0.007845376638671082
33,0.012230879066893845
34,0.005293337994500456
35,0.0047189913284756
36,0.004231011830818997
37,0.04118468762001131
38,0.026929237330980092
39,0.015784527343399253
40,0.007161504453125446
41,0.00911801682257584
42,0.008878688088694138
43,0.005556567801132948
44,0.005431204832960938
45,0.014135093815461637
46,0.006805017805735995
47,0.01352542383180639
48,0.00409319180076375
49,0.004364231904988351
50,0.02131257857935013
51,0.010160213296266714
52,0.005712589917312071
53,0.01729158811613652
54,0.009158584299744012
55,0.005933930544339598
56,0.07166119369823597
57,0.009745723134979921
58,0.009849210787686961
59,0.008864800194584375
60,0.00844502582225675
61,0.008827436686701133
62,0.007837203488598891
63,0.011455474906631312
64,0.006490721488932531
65,0.06979624145156343
66,0.00996868644689241
67,0.009012284133017655
68,0.010673278893905284
69,0.08796691314138301
70,0.01716421120024631
71,0.0038091430901706007
72,0.049889857424552465
73,0.01662390934706042
74,0.004615567385301604
75,0.01286034559035857
76,0.00620744132672104
77,0.020016141937495714
78,0.008009263095834628
79,0.01392213708418507
80,0.014700899693204407
81,0.03943930816436395
82,0.013003548876520742
83,0.013809832283746597
84,0.008224442468072905
85,0.01703515613025678
86,0.005912328296919671
87,0.02751829379136641
88,0.0771027958594794
89,0.011905058270720843
90,0.012920998581921576
91,0.012614175799942902
92,0.008865675187800688
