Dimension,Mutual_Information
1,0.002544528020845531
2,0.006788201615800439
3,0.002627247695299366
4,0.0031428908254857927
5,0.00239018695993156
6,0.003488606569862128
7,0.006549892070424855
8,0.005869040755980139
9,0.0030125994570904934
10,0.005991236416127886
11,0.008088801910342967
12,0.005280669728901212
13,0.02919595301747921
14,0.005043610852400564
15,0.004418336531897903
16,0.008811407793048322
17,0.01654637773309029
18,0.002942515434155156
19,0.011509227713519733
20,0.0025325720072759887
21,0.001953735334839411
22,0.012519885418861253
23,0.0037604601873741576
24,0.011400274786380164
25,0.0017712873649668652
26,0.0014382682256521488
27,0.0033427071842167737
28,0.0017608002953016719
29,0.003062150093277475
30,0.006465415813564322
31,0.007530368600793938
32,0.0028346467596579838
33,0.005080141027087641
34,0.01584805402050609
35,0.019128341753470085
36,0.005981993946072038
37,0.006798586775801467
38,0.003922372863363437
39,0.0019085727031929937
40,0.010495327557090046
41,0.0016841172251009714
42,0.003631036092770122
43,0.007513147777632005
44,0.017197048684654458
45,0.0033199159143554795
46,0.007324673740149383
47,0.007184092508426922
48,0.0015730529999488578
49,0.003710591706000736
50,0.0014608768667513298
51,0.006020577219967342
52,0.00797919659257084
53,0.00911431508643478
54,0.0033216287756999622
55,0.0022688412384375893
56,0.003324113856797588
57,0.006745992663777366
58,0.002230209468434517
59,0.0030329021919823992
60,0.0026208195788333874
61,0.002886642554294848
62,0.0029104046164038703
63,0.01979753347414876
64,0.002313747454077773
65,0.00229926223136203
66,0.0033177365129891043
67,0.004625376178798289
68,0.0020628125643438115
69,0.0011344966523179549
70,0.02650644807645381
71,0.0013852824227706048
72,0.005351661068590467
73,0.009107184379664561
74,0.001902375290721146
75,0.006910763326295359
76,0.0018113151328457075
77,0.002510047448089851
78,0.002061164857126284
79,0.00516771251004302
80,0.0024101665924546253
81,0.004786053404496025
82,0.008093473500797053
83,0.0012393573458666304
84,0.006993802345128107
85,0.003112653241655071
86,0.00301335001424282
87,0.00313597752925608
88,0.00323980043162466
89,0.006862285409027578
90,0.004176021051118493
91,0.0034962516963424825
92,0.0034618931270334816
93,0.0011837295581430193
94,0.001373975515730617
95,0.004042547624853114
96,0.002466469034373746
97,0.0011794091801148252
98,0.0023858393717683044
99,0.021389504566625257
100,0.004655087950582469
101,0.0016379822943840753
102,0.00390832808418836
103,0.0016555043332092331
104,0.0036931916686842713
105,0.003928185276226202
106,0.018956595562524638
107,0.010558276130208204
108,0.00750147104864906
109,0.006698180580299466
110,0.0027957207667934285
111,0.005565295373799593
112,0.006477725808942451
113,0.002494471937026975
114,0.004761350189690448
115,0.003829441471309612
116,0.0016363252066323095
117,0.003194248208944282
118,0.011715052150075851
119,0.0019816489080158243
120,0.0028308122239214095
121,0.005341818243190362
122,0.010642584424241354
123,0.00485872463278973
124,0.009588948830766712
125,0.007045350726159756
126,0.0047389148300972725
127,0.004110151511716419
128,0.009771840267514105
129,0.011708263069388498
130,0.001422911225691235
131,0.004450032526677604
132,0.003086205282002506
133,0.0048071110831698835
134,0.0019746758965964654
135,0.005525529063071126
136,0.001686290043326509
137,0.008795873066199188
138,0.003718238673331729
139,0.008698756520129676
140,0.009625314787127977
141,0.002219096688645415
142,0.007103237080925494
143,0.004010891052612313
144,0.0037616876571721844
145,0.0017619844427661166
146,0.0019853856759128245
147,0.006302578687253223
148,0.007019655373015431
149,0.011819522258763267
150,0.003456977552654859
151,0.010648292219028375
152,0.005445476298662315
153,0.0033442713445434244
154,0.003430060413874135
155,0.017158631264316056
156,0.0022784555717899543
157,0.002293534850723304
158,0.00407042005094453
159,0.002332719942427834
160,0.00589135865166162
161,0.002342304806902555
162,0.01078818779396424
163,0.007345816978445989
164,0.004715082680873971
165,0.004721350513869509
166,0.006944890918804035
167,0.0044262056287363225
168,0.033244569857502314
169,0.005783657890700476
170,0.0013290916083743484
171,0.004135130389565443
172,0.008990391968367963
173,0.007171212574530177
174,0.012652644008838233
175,0.0019724257072853617
176,0.028537299812073598
177,0.005831925285847105
178,0.0030767328961526156
179,0.00256061812635968
180,0.001013743274292898
181,0.008113554207548578
182,0.001572287178337343
183,0.004091080361134446
184,0.002464373610140756
185,0.0029951704165654606
186,0.0028553313670018274
187,0.00376769817302424
188,0.00350286818806899
189,0.033021645059120065
190,0.0036360694811448865
191,0.0030521348379231243
192,0.00197966611214883
193,0.005610070075621247
194,0.0021658525213235007
195,0.0025786358183989763
196,0.002086125921234076
197,0.010942785064910511
198,0.006462920823052935
199,0.006119331722454956
200,0.001561161721393887
201,0.003938074141491631
202,0.004049917843331467
203,0.0052301841690367765
204,0.002228503194183266
205,0.0009877809870174267
206,0.00406704033816737
207,0.0018954832731884678
208,0.002905151116485059
209,0.003345634406083313
210,0.007155484468855035
211,0.008177563256915175
212,0.0011404020616338976
213,0.0011487873253460887
214,0.0032803296633992993
215,0.017940484883782436
216,0.008252421508827969
217,0.00407607709152618
218,0.0014046754688289264
219,0.012895003525866332
220,0.006082619143165484
221,0.0026896907797656837
222,0.004104837966629853
223,0.002926595345732745
224,0.003264449251211519
225,0.007840613995776145
226,0.011324600475173079
227,0.005010936047246527
228,0.0014720474925929636
229,0.006524834595129474
230,0.0012265317086276799
231,0.01154436309172057
232,0.0019440539837474661
233,0.0018037038809505732
234,0.007695462806420202
235,0.0038182453982092616
236,0.004381641478823396
237,0.008426044882544413
238,0.003220409380551285
239,0.004905356287804412
240,0.005149313278733518
241,0.009139934321895853
242,0.002615083936377847
243,0.005690737656806437
244,0.011406584804626772
245,0.007828334500509258
246,0.0018845062158782885
247,0.0010299396690296374
248,0.0032106660566438776
249,0.00833901165124002
250,0.012540462015021701
251,0.035541501225672616
252,0.002230189909079076
253,0.0028709299151413945
254,0.0027132902548005003
255,0.0016596401587266538
256,0.004546525515012716
257,0.003110706234724085
258,0.0038360959546611044
259,0.0014388941057371304
260,0.00311447366904221
261,0.005274011999745275
262,0.004976185832206569
263,0.008243699646067797
264,0.0121666775703144
265,0.003618879522369271
266,0.00452217082318284
267,0.0017257670014048858
268,0.002889057242728331
269,0.0039593580266348224
270,0.005284146083154327
271,0.013939159245939407
272,0.002785075045973605
273,0.003182192398627097
274,0.0015688124588580307
275,0.001992008944124011
276,0.0022921239564350697
277,0.0014520839527163553
278,0.0031722998636327313
279,0.0022219132289648317
280,0.0018103578182463009
281,0.009210166122284556
282,0.00302804707148193
283,0.005497148746007617
284,0.005419538399786865
285,0.011890063375251496
286,0.0034144427324866652
287,0.01162988935086564
288,0.014491091287165324
289,0.002115286107671026
290,0.0018466472117123975
291,0.018386494099718827
292,0.004073190347382953
293,0.003529699518805822
294,0.0064360388239133245
295,0.0071037416369804166
296,0.0015727817460661968
297,0.0032564744044784252
298,0.0028732287307387176
299,0.0038952137173749388
300,0.005304398826940886
301,0.00221176008557674
302,0.006566798264707761
303,0.002108521712738993
304,0.002422278666466403
305,0.0019042434379034565
306,0.003088250602546215
307,0.0027094588689250618
308,0.012941444426798308
309,0.005757985203205064
310,0.004095308387415113
311,0.0010874484654381442
312,0.0021849558685693923
313,0.024206769026709242
314,0.0038906247761138144
315,0.004804906184697276
316,0.002613589588418501
317,0.004839606707710213
318,0.0019226136233126893
319,0.0016444993729697803
320,0.002658919431784999
321,0.0020764425630528313
322,0.0046089616998508595
323,0.004026854293618674
324,0.004529386498908786
325,0.019119466429833108
326,0.009523874494163719
327,0.0041940741404803625
328,0.008452601657881455
329,0.001805121760204496
330,0.0046295715658035905
331,0.004810180058811085
332,0.004240931725730847
333,0.002224849107167463
334,0.009512810263052347
335,0.0014074645448868758
336,0.0016513686505366869
337,0.004146292149122287
338,0.0025532952358244747
339,0.004934131062103574
340,0.004989305063443104
341,0.003178063130798013
342,0.001689906038205145
343,0.020046314002164257
344,0.003912831293438161
345,0.008128696166186151
346,0.006098675553658249
347,0.0021451205455838406
348,0.010057801250228544
349,0.0021105258358038934
350,0.00203415680383142
351,0.0035722790583418915
352,0.0049009407346678035
353,0.004253886636084968
354,0.004542878115839137
355,0.002263714749032357
356,0.004130790975477826
357,0.0024298220440934423
358,0.00590358827365197
359,0.0035215160770736397
360,0.0030597283588746286
361,0.002289575920716123
362,0.01382141459258674
363,0.0014249492067848965
364,0.005751163813181824
365,0.003006127899798226
366,0.005472517549933713
367,0.048283672697499655
