dimension,edi_score,mi_score,wilcoxon_score,rfe_score
442,0.9581198392527666,0.7905991962638328,1.0,1.0
756,0.8,1.0,1.0,0.0
364,0.7772919778528583,0.3204117486342272,1.0,0.5660481406300643
118,0.771764166105996,0.22059736231411597,1.0,0.6382234682158635
205,0.7485085535385975,0.2111794289538713,1.0,0.5313633387391157
610,0.7417302202586814,0.22036221524085617,1.0,0.4882888860525506
620,0.7371284250321429,0.19595224914906606,1.0,0.48968987601164843
541,0.7368926533268627,0.2240151946320501,1.0,0.46044807200226384
730,0.7348615411315065,0.24115625147788003,1.0,0.4331514541796521
381,0.732870171527017,0.2832781704466904,1.0,0.38107268718839454
748,0.7290571022363156,0.22882243440491817,1.0,0.4164630767766596
690,0.7286998809945626,0.13466714764140825,1.0,0.508832257331405
183,0.7268894841541944,0.11528166311637905,1.0,0.5191657576545934
687,0.7180772494180685,0.10585881982836409,1.0,0.4845274272619786
576,0.7103936893311136,0.11787474539898296,1.0,0.4340937012565851
444,0.7056413580701172,0.10701751952652774,1.0,0.4211892708240581
484,0.7007031781203203,0.13511086394434796,1.0,0.3684050266572539
402,0.6995815565546722,0.10102965279015831,1.0,0.3968781299832032
271,0.6990440044836868,0.07698233323341314,1.0,0.41823768918502113
178,0.6957575646478752,0.10721318312342965,1.0,0.3715746401159465
34,0.6700007891470844,0.3500039457354222,1.0,0.0
688,0.6682853074519994,0.3414265372599975,1.0,0.0
461,0.6556767685302138,0.2783838426510696,1.0,0.0
103,0.6551783423636807,0.2758917118184036,1.0,0.0
555,0.6539439886378223,0.26971994318911174,1.0,0.0
587,0.6537316028811814,0.26865801440590675,1.0,0.0
372,0.6508048906636549,0.25402445331827456,1.0,0.0
523,0.6499692592085867,0.2498462960429335,1.0,0.0
502,0.6482670774054526,0.24133538702726332,1.0,0.0
421,0.6475132757908254,0.2375663789541269,1.0,0.0
423,0.644689369795216,0.22344684897607986,1.0,0.0
90,0.6430199190299347,0.2150995951496736,1.0,0.0
67,0.6402850923372949,0.20142546168647457,1.0,0.0
752,0.6383779816300349,0.19188990815017445,1.0,0.0
52,0.6380332018338774,0.19016600916938664,1.0,0.0
488,0.6378335680730872,0.18916784036543619,1.0,0.0
525,0.632872605606269,0.16436302803134542,1.0,0.0
276,0.6324520039237301,0.16226001961865075,1.0,0.0
321,0.6323571133050929,0.16178556652546464,1.0,0.0
572,0.6323185674979996,0.1615928374899984,1.0,0.0
615,0.6320840841647699,0.1604204208238496,1.0,0.0
683,0.6312827995658792,0.15641399782939602,1.0,0.0
764,0.631073490019884,0.15536745009942018,1.0,0.0
422,0.630769064139131,0.15384532069565526,1.0,0.0
729,0.6305257924157713,0.15262896207885684,1.0,0.0
725,0.630342892197121,0.15171446098560532,1.0,0.0
760,0.629918008201074,0.14959004100537013,1.0,0.0
648,0.6294507702565378,0.14725385128268909,1.0,0.0
342,0.629328364312216,0.1466418215610801,1.0,0.0
156,0.6282814150164862,0.14140707508243078,1.0,0.0
532,0.6282486215526195,0.1412431077630978,1.0,0.0
250,0.628242860017375,0.14121430008687472,1.0,0.0
759,0.6282414095578925,0.14120704778946272,1.0,0.0
626,0.6280992149370134,0.14049607468506717,1.0,0.0
288,0.6280310303918311,0.14015515195920292,0.9999999999999841,0.0
747,0.6274681360953372,0.1373406804766863,1.0,0.0
383,0.626990408049399,0.13495204024699495,1.0,0.0
597,0.6264472945691284,0.1322364728456422,1.0,0.0
612,0.626341532251644,0.13170766125822042,1.0,0.0
114,0.6260689939639632,0.13034496981981597,1.0,0.0
304,0.625953794583782,0.1297689729189098,1.0,0.0
94,0.6256416814730088,0.1282084073650451,0.9999999999999996,0.0
652,0.6255050975321614,0.12752548766080737,1.0,0.0
548,0.6252523296743873,0.12626164837193665,1.0,0.0
630,0.6244894114867608,0.12244705743380416,1.0,0.0
644,0.6243351653323224,0.12167582666161209,1.0,0.0
74,0.6238114480372444,0.11905724018622221,1.0,0.0
279,0.6236389370261941,0.11819468513097076,1.0,0.0
524,0.6236014298771967,0.11800714938598372,1.0,0.0
54,0.6234225144124308,0.11711257206215389,1.0,0.0
176,0.6234152876131641,0.11707643806582083,1.0,0.0
359,0.6233374188886646,0.11668709444332288,1.0,0.0
339,0.6227123482204007,0.11356174110200354,1.0,0.0
65,0.6225850129042446,0.11292506452122307,1.0,0.0
81,0.6225255791494015,0.11262789574700786,1.0,0.0
232,0.6224854182473676,0.11242709123683814,1.0,0.0
518,0.6222231206830722,0.11111560341536086,1.0,0.0
495,0.6220787676144309,0.11039383807215476,1.0,0.0
762,0.6220587611028766,0.1102938055143856,0.9999999999999992,0.0
212,0.6219848270999853,0.10992413549992656,1.0,0.0
75,0.6215929602685134,0.1079648013425672,1.0,0.0
41,0.6215024425794502,0.10751221289725084,1.0,0.0
745,0.6212619757973428,0.10638824007548243,0.9999738796370772,0.0
162,0.62101189836817,0.10505949184084985,1.0,0.0
743,0.6208073556117993,0.10403677805899696,1.0,0.0
637,0.620598640182266,0.10299320091133227,0.9999999999999993,0.0
506,0.6202852627269744,0.10142739826973661,0.9999996384550451,0.0
510,0.6200629734478151,0.10031486723907568,1.0,0.0
715,0.6200537340058463,0.10026867002923172,1.0,0.0
575,0.6199873970732679,0.09993698536634675,0.9999999999999976,0.0
483,0.6196992521140045,0.0984962605700225,1.0,0.0
0,0.6196950750146853,0.09847550265937906,0.9999999574713492,0.0
397,0.6196178966836191,0.09808948341809558,1.0,0.0
662,0.6195532168044107,0.0977660840220532,1.0,0.0
28,0.6195370644734638,0.09768532245940159,0.9999999999693059,0.0
196,0.6194229498683159,0.09711474934157992,1.0,0.0
297,0.6193999953769747,0.09699997688487333,1.0,0.0
405,0.6193794343709299,0.09689717185464956,1.0,0.0
693,0.6192865599710122,0.0964327998550677,0.9999999999999978,0.0
594,0.6191671068979573,0.09583553448978645,1.0,0.0
95,0.6190338500269106,0.09516925443912871,0.9999999985651415,0.0
446,0.6190056694282267,0.09502834811872556,0.999999999674136,0.0
711,0.6189061300663404,0.0945306503317025,1.0,0.0
653,0.6188123937218959,0.0940619686094796,1.0,0.0
373,0.6186355090637228,0.09317754531861394,1.0,0.0
169,0.618635328744355,0.093176643721792,0.9999999999999944,0.0
315,0.6186318636723444,0.09315931836172213,1.0,0.0
228,0.6186117544130167,0.09305877206746008,0.9999999999992079,0.0
39,0.6185310142292875,0.09265507114643767,1.0,0.0
557,0.6184883104365879,0.09244155225541881,0.9999999999758403,0.0
738,0.6184491887776001,0.09224594388800077,1.0,0.0
11,0.6184055659841439,0.09202782992071945,1.0,0.0
216,0.6181619893957404,0.09080994697870269,0.9999999999999998,0.0
221,0.6180542391534343,0.09027119576717155,1.0,0.0
29,0.6180367919196061,0.09018395959803104,1.0,0.0
716,0.6179616595803752,0.08980829790187606,1.0,0.0
588,0.6177570361980579,0.08878518099029403,0.9999999999999986,0.0
57,0.6176767469494036,0.08838373474701794,1.0,0.0
64,0.6176626370661413,0.0883131853307069,1.0,0.0
456,0.617653360845918,0.08826680422959056,1.0,0.0
489,0.6175318600564889,0.0876596792716242,0.9999998736702733,0.0
737,0.6174918091882229,0.08745904594111474,1.0,0.0
5,0.6174818846166952,0.08740942308347614,1.0,0.0
436,0.6174267247550265,0.08713362377513223,1.0,0.0
734,0.6173896654887114,0.08694832744355722,1.0,0.0
592,0.6172791119510735,0.08639555975760715,0.9999999999992536,0.0
138,0.6172710987743603,0.08635549387180161,1.0,0.0
761,0.6172624374370271,0.08631218718514774,0.9999999999999959,0.0
222,0.6170514282970897,0.08525714148544855,1.0,0.0
450,0.6170244544709292,0.08512227235464626,1.0,0.0
435,0.6169032008122818,0.08451600406140909,1.0,0.0
283,0.6168720331161658,0.08447409296404897,0.9999620242055933,0.0
18,0.6168677260801378,0.08484882853151043,0.9998299339563931,0.0
475,0.616753156786738,0.0869508192205693,0.9989383215710403,0.0
319,0.616703117945327,0.08351558972663477,1.0,0.0
744,0.6166981201321436,0.08349060066071837,1.0,0.0
88,0.6166226546082689,0.08311327314500631,0.9999999999654461,0.0
153,0.6165804888651469,0.08292294673351451,0.9999931658640734,0.0
671,0.6165522566898012,0.0827613067418144,0.9999999922357307,0.0
581,0.6165419026936277,0.08270951346813887,1.0,0.0
686,0.6163889484230218,0.0820656194579351,0.9999597075523915,0.0
517,0.6163286279842037,0.08164313992101876,1.0,0.0
133,0.6162588115408676,0.08129405770433804,1.0,0.0
417,0.616223020702166,0.08111517796293974,0.99999997518263,0.0
247,0.6161037028856506,0.08051851442825356,1.0,0.0
384,0.6160591467843204,0.08029573392188592,0.9999999999999055,0.0
411,0.6159345744740509,0.07967287237025447,1.0,0.0
387,0.6159220387550862,0.07961019377543115,1.0,0.0
51,0.615870760301018,0.07935380150508975,1.0,0.0
190,0.6157902677272469,0.07895134193568758,0.9999999989001823,0.0
303,0.6157009061083045,0.07854152547391823,0.9999876683558682,0.0
336,0.6156096080795265,0.07804804076001685,0.9999999998792051,0.0
758,0.615567986964756,0.07783993496525289,0.9999999999528424,0.0
208,0.6152854923114948,0.07642746155747408,1.0,0.0
585,0.61518077551395,0.07590391153056093,0.9999999886797297,0.0
633,0.6151675674632809,0.07583783738302947,0.9999999999777918,0.0
27,0.6148362064214743,0.07418103210867004,0.9999999999995671,0.0
350,0.6146384363630087,0.07319218181504387,1.0,0.0
474,0.6145157460218398,0.07257873011943015,0.9999999999965895,0.0
33,0.6144049004485328,0.07202462718152625,0.9999999583537126,0.0
621,0.6143224856343446,0.07161242817172314,1.0,0.0
345,0.6143101859297752,0.07155293584023706,0.9999993312695462,0.0
30,0.614206479026405,0.07103239513202508,1.0,0.0
171,0.6141532834027508,0.07076641869901798,0.9999999994382452,0.0
700,0.6140705401391859,0.0703527101513676,0.9999999968481874,0.0
731,0.6140612675170635,0.07030633989573147,0.999999999229862,0.0
389,0.6140260236637843,0.07013011831892156,1.0,0.0
467,0.6138680933645776,0.06934046682288815,1.0,0.0
674,0.6138100618369527,0.06905030918478319,0.9999999999999934,0.0
230,0.6135974575738116,0.06798728786905812,1.0,0.0
553,0.6135185858660198,0.0675929312903901,0.9999999993465698,0.0
365,0.6134700805357066,0.06735040267853301,1.0,0.0
272,0.6134148344424518,0.0670741722122592,1.0,0.0
586,0.6133236005626139,0.06661800281306962,1.0,0.0
4,0.6132440420002745,0.06622021013835071,0.9999999999543405,0.0
552,0.6131744103285177,0.06599363741376649,0.9999594714096074,0.0
624,0.6130003925413703,0.06500325964514383,0.9999995676872359,0.0
198,0.6129531626450465,0.06476581322527862,0.9999999999999846,0.0
675,0.6129393008878607,0.06469650805473419,0.9999999987948566,0.0
273,0.6128398604771931,0.06427961213329067,0.999973230084225,0.0
551,0.6127560285482871,0.06378014274143572,1.0,0.0
643,0.6127460977901492,0.06373048895074614,1.0,0.0
634,0.6127334287571076,0.06366714378656803,0.9999999999996566,0.0
248,0.6126901921115662,0.0634840934306839,0.999988955709049,0.0
386,0.6125510257985975,0.06275512899300212,0.9999999999999951,0.0
19,0.6124307387095029,0.062161579475120174,0.9999973713574649,0.0
625,0.6123944386514628,0.06197219325731687,0.999999999999999,0.0
563,0.6123861718884505,0.061930859442294615,0.999999999999986,0.0
66,0.6123647375978835,0.06182368798941716,1.0,0.0
727,0.6121678048416404,0.060839024208202114,1.0,0.0
562,0.6121445186397745,0.060722593203768396,0.999999999998368,0.0
35,0.6120723316179887,0.06280946551335506,0.9991840641921963,0.0
366,0.6120539447580268,0.06028436497370576,0.9999951196054762,0.0
256,0.6120241468287115,0.06012073414355774,1.0,0.0
320,0.6119422829623873,0.059711414811936404,1.0,0.0
259,0.6119230872404857,0.05961614683328504,0.999999763123048,0.0
347,0.6119183943065241,0.05959197225606087,0.9999999997588532,0.0
186,0.6119076647632367,0.0595383238163952,0.9999999999999294,0.0
344,0.6118653235411048,0.05932664595848293,0.9999999905823471,0.0
116,0.6118525277659413,0.05926316354542668,0.9999998250947602,0.0
254,0.6118135598164777,0.0591388243345998,0.9999763249159296,0.0
539,0.6118112768119528,0.0590563990003092,0.9999999950198184,0.0
401,0.6118050352255914,0.05904680184660871,0.999992791427116,0.0
314,0.6118040980318769,0.05902049113843565,0.9999999996736496,0.0
237,0.6116449969166553,0.058224997521676695,0.9999999956871999,0.0
649,0.6115784075950197,0.057892037975100924,0.9999999999999992,0.0
79,0.6114257497720108,0.05712874886005396,1.0,0.0
714,0.6113996197337171,0.05699809866858564,1.0,0.0
218,0.6112136868062017,0.056068434043422904,0.9999999999958618,0.0
708,0.6111605379078494,0.06028359104267758,0.9985063661655232,0.0
187,0.6109002365463021,0.054501233584681646,0.999999983048943,0.0
96,0.6108199563498592,0.05409978211261577,0.9999999998788934,0.0
56,0.6108110021584259,0.05405501083304985,0.9999999999863598,0.0
24,0.6107108520456502,0.05355568289797404,0.9999995257767592,0.0
595,0.6105443339916392,0.07143855760358013,0.9937610374515387,0.0
740,0.610522683925056,0.05968421859250063,0.9976430670109265,0.0
14,0.6104293579380585,0.052402451328897745,0.9999147794537983,0.0
159,0.6104270232860255,0.05213511644101494,0.9999999999963708,0.0
309,0.6103281347609976,0.05236779484346328,0.9997576263205082,0.0
550,0.6102843391281829,0.051439822464276454,0.9999939577255461,0.0
152,0.6101779687287215,0.05088984364360826,0.9999999999999998,0.0
47,0.610135654424049,0.05067953072542239,0.999999580464941,0.0
545,0.6100401123480259,0.050200563026526465,0.9999999995712012,0.0
723,0.6100373347100085,0.06093208688483012,0.9964181955550709,0.0
415,0.6100203712378258,0.050101856386893094,0.9999999999340786,0.0
13,0.6100176139754319,0.05008806987717039,0.9999999999999963,0.0
