Epoch,Loss
0,0.11901507177390158
1,0.10663671721704304
2,0.10070209414698184
3,0.09847711748443544
4,0.09718119655735791
5,0.09593663364648819
6,0.09424567734822631
7,0.09211784158833325
8,0.0907323791179806
9,0.08905555517412722
10,0.08766647661104798
11,0.08633377216756344
12,0.08548770123161376
13,0.08465792168863118
14,0.08409071364440024
15,0.0827354802750051
16,0.08249023463577032
17,0.08194624609313905
18,0.08108161599375308
19,0.08063706336542964
20,0.07998793828301132
21,0.0798448147252202
22,0.07920713629573584
23,0.07880388596095145
24,0.07855149963870645
25,0.07823684718459845
26,0.07792046596296132
27,0.0776649909093976
28,0.07740064198151231
29,0.0770786504726857
30,0.07671548938378692
31,0.07634822418913245
32,0.07618224038742483
33,0.0757329873740673
34,0.07559701544232666
35,0.07519610109739006
36,0.07524040155112743
37,0.07537579094059765
38,0.07496958412230015
39,0.07482382887974381
40,0.07438808958977461
41,0.07420068979263306
42,0.0742063142824918
43,0.07402347237803042
44,0.07386649865657091
45,0.07350843772292137
46,0.07343479990959167
47,0.07331264903768897
48,0.07295641978271306
49,0.0731864923145622
50,0.07297777733765543
51,0.0725857459474355
52,0.07241003517992795
53,0.07259673858061433
54,0.07234914158470929
55,0.0723134286236018
56,0.0723957372829318
57,0.07213006354868412
58,0.07219353644177318
59,0.0720485127530992
60,0.0720140915364027
61,0.07213232689537108
62,0.07167540187947452
63,0.07215859135612845
64,0.07156896451488137
65,0.07172463671304286
66,0.07204381935298443
67,0.07167113735340536
68,0.07146571739576757
69,0.0717436911072582
70,0.0713441928382963
71,0.07130924123339355
72,0.07104170392267406
73,0.07094156020320952
74,0.07129434682428837
75,0.07138701574876904
76,0.07139004487544298
77,0.07092779851518571
78,0.07092276099137962
79,0.07101390953175724
80,0.07105008163489401
81,0.07093446841463447
82,0.0707394469063729
83,0.07087209052406251
84,0.07065128744579852
85,0.07067999802529812
86,0.07067255862057209
87,0.07081660069525242
88,0.07045236229896545
89,0.07054082094691694
90,0.07081319089047611
91,0.07065661856904626
92,0.0702403006143868
93,0.07041765842586756
94,0.07029177201911807
95,0.0701961221639067
96,0.0701328304130584
97,0.0701604310888797
98,0.0701160675380379
99,0.07025439850986004
