Epoch,Loss
0,0.051892529241740704
1,0.0383402724401094
2,0.030615037074312568
3,0.029122244566679
4,0.029052466270513833
5,0.028471326280850917
6,0.02823399577755481
7,0.027710264723282307
8,0.02747185539919883
9,0.026772283425088972
10,0.0266740188235417
11,0.026410733407828957
12,0.025790580664761364
13,0.025298225111328065
14,0.02539270941633731
15,0.02486551634501666
16,0.024634029949083924
17,0.02433291816851124
18,0.023982269689440727
19,0.023781494237482548
20,0.02358757914043963
21,0.023170044529251754
22,0.023016949009615928
23,0.022850570443551987
24,0.022807442117482424
25,0.022566010826267302
26,0.022426305920816958
27,0.022176379105076194
28,0.022051322739571333
29,0.021858005260583013
30,0.021553299215156585
31,0.02155637985561043
32,0.02141479484271258
33,0.021214827545918524
34,0.021232772909570485
35,0.020967050222679973
36,0.020874519075732678
37,0.0207968323957175
38,0.020799856691155583
39,0.02067561965668574
40,0.02044107101392001
41,0.02039512956980616
42,0.020427883486263454
43,0.020323215518146753
44,0.020136570325121284
45,0.020033561217132956
46,0.020000394142698497
47,0.019875351106747985
48,0.019713809015229344
49,0.019746848032809794
50,0.019784537667874247
51,0.019676881842315197
52,0.0194540205411613
53,0.019441020616795868
54,0.019344395608641207
55,0.01943591478629969
56,0.019511119928210974
57,0.01916713430546224
58,0.01923300590715371
59,0.019256354251410812
60,0.01901252692914568
61,0.0190352201461792
62,0.01891972855082713
63,0.01904066134011373
64,0.01886945465230383
65,0.019025067100301385
66,0.01903051629778929
67,0.01895672539831139
68,0.018736544472631067
69,0.018832999339792877
70,0.018700121494475752
71,0.01887336082290858
72,0.01865265058586374
73,0.018549195723608136
74,0.0187894597183913
75,0.018592929787700996
76,0.01863217505160719
77,0.01850573014235124
78,0.018452244985383004
79,0.0185214159428142
80,0.018577633949462324
81,0.018477300414815545
82,0.01848375954432413
83,0.018286620907019824
84,0.018301115691429004
85,0.018339572910917923
86,0.018455555458785966
87,0.018293258151970804
88,0.01830929791321978
89,0.018266997940372676
90,0.018545429658843204
91,0.018142426357371733
92,0.018268498621182516
93,0.018244303355459124
94,0.018354437983362004
95,0.018262298981426284
96,0.018199874670244753
97,0.01811072966665961
98,0.018263913079863414
99,0.018103876034729183
