Dimension,Mutual_Information
1,0.05614460829662773
2,0.019676223761349858
3,0.02207873421544112
4,0.0029261214073870376
5,0.02413480411032739
6,0.06539487277550399
7,0.05103961068423617
8,0.004498490109434143
9,0.007106829501503396
10,0.027832099008315243
11,0.02732243326433103
12,0.01804805476615267
13,0.025909752511303404
14,0.006737041492175182
15,0.026136426296783914
16,0.008907964073591061
17,0.0009921690909787321
18,0.020615197173170598
19,0.015708207674638146
20,0.005247637768205936
21,0.0037570822449102467
22,0.012156452863507132
23,0.006353682623713421
24,0.005890254363167528
25,0.0027994022524056236
26,0.012269280513584079
27,0.012842272679545012
28,0.0049773691876102075
29,0.0035562960761459854
30,0.014042261642645902
31,0.008800283173621477
32,0.05986906131365511
33,0.0009281638225465886
34,0.03840946133967918
35,0.0027665492743366923
36,0.01606519327039759
37,0.06988701610965364
38,0.03699982882917146
39,0.011173066939696823
40,0.003695610494094552
41,0.014471552175733614
42,0.007527457950032228
43,0.029893018295531038
44,0.059443267349753956
45,0.07563637530189112
46,0.0025414298216497803
47,0.024856115620578163
48,0.020363842855588128
49,0.005037394931397758
50,0.3846072778663208
51,0.004783417529245902
52,0.025054711227941666
53,0.005237909600230205
54,0.0040056844534800615
55,0.001413858119713944
56,0.04806323809353225
57,0.09877886217981577
58,0.03611104376661009
59,0.024532689584849547
60,0.07712899752114635
61,0.016553972347733044
62,0.03558017301644641
63,0.004612133360025687
64,0.0647127689528715
65,0.01597958358293871
66,0.00801425133820214
67,0.0058474333128131425
68,0.0072649658735748565
69,0.024891328450126392
70,0.027412128193863294
71,0.0180553067293519
72,0.02822248142800813
73,0.03253151518454923
74,0.007099429711395704
75,0.11566430789107053
76,0.002552894519050212
77,0.022187475722843512
78,0.1009102646072276
79,0.03519716592373331
80,0.03830734066760543
81,0.004522301672387076
82,0.0012087342703484202
83,0.013277496089995684
84,0.00395688853857553
85,0.0038921639045281712
86,0.0029188070889518344
87,0.03646007594660388
88,0.03550185407776667
89,0.01623965257918398
90,0.03211192264366293
91,0.013092765314348921
