dimension,edi_score,mi_score,wilcoxon_score,rfe_logistic_score
43,0.8958021002165544,0.8174370119634692,1.0,0.8707290772606162
210,0.8843996119597122,0.7133802928417824,1.0,0.9381885744762467
387,0.8324096381844643,0.4921504187408011,1.0,1.0
54,0.8281155782476548,0.6177278730278221,1.0,0.8654864122013923
483,0.7722885470877039,0.45439176484021304,1.0,0.8598213667365695
71,0.7626287803925308,0.4851066177125238,1.0,0.8015988133746996
418,0.7610183379912441,0.462785355440007,1.0,0.8185269726354165
331,0.7551742395320239,0.4284718484296013,1.0,0.8346427339713395
97,0.753798482386259,0.37289868830589046,1.0,0.884535044839162
695,0.7356590446409101,0.446514664069987,1.0,0.7597329573465131
303,0.7173919858136126,0.662025007611496,1.0,0.49683450971123244
715,0.7120503550898101,0.2685773333310933,1.0,0.8629995149722035
217,0.7023288227134685,0.6163790588231804,1.0,0.49683450971123244
441,0.6980718723270398,0.6034792091673357,1.0,0.49683450971123244
376,0.6968123775842461,0.5996625584315968,1.0,0.49683450971123244
637,0.693070026126668,0.2605218436798897,1.0,0.8149935815067776
164,0.6928445730474748,0.5876389083201692,1.0,0.49683450971123244
431,0.6902069922188832,0.5796462391426186,1.0,0.49683450971123244
691,0.686535695102592,0.568521096365979,1.0,0.49683450971123244
348,0.6833064534512427,0.5587355156043144,1.0,0.49683450971123244
522,0.6814573918487794,0.5531322986271525,1.0,0.49683450971123244
464,0.677391617396069,0.5408117699825756,1.0,0.49683450971123244
221,0.6752264667474843,0.5342507074111068,1.0,0.49683450971123244
207,0.6729552952407205,0.5273683695118223,1.0,0.49683450971123244
558,0.6653017253239135,0.2226835954897113,1.0,0.7700474670950258
548,0.6646860210010563,0.5023099627249616,1.0,0.49683450971123244
56,0.6636903575934054,0.49929280088359485,1.0,0.49683450971123244
577,0.66,1.0,1.0,0.0
509,0.6584767153297636,0.4834938849331653,1.0,0.49683450971123244
192,0.6554143581558154,0.4742140147090799,1.0,0.49683450971123244
179,0.652900358907454,0.46659583516859104,1.0,0.49683450971123244
614,0.6489198661375373,0.4545337358658128,1.0,0.49683450971123244
301,0.6476257110406074,0.4506120537539043,1.0,0.49683450971123244
76,0.6467747071961172,0.4480332542251457,1.0,0.49683450971123244
497,0.6431561970322852,0.43706807191050345,1.0,0.49683450971123244
731,0.6384705868709002,0.42286925323963975,1.0,0.49683450971123244
448,0.6383502018728946,0.4225044502153804,1.0,0.49683450971123244
633,0.6376644216010614,0.42042632817952225,1.0,0.49683450971123244
756,0.6362449271654258,0.41612482988971744,1.0,0.49683450971123244
620,0.635079372577865,0.41259284629104814,1.0,0.49683450971123244
528,0.6340572152705992,0.40949539990539446,1.0,0.49683450971123244
574,0.6304745594111976,0.3986388669981164,1.0,0.49683450971123244
292,0.6296328215227612,0.3960881461240672,1.0,0.49683450971123244
544,0.6252592447448573,0.3828348831607218,1.0,0.49683450971123244
632,0.6251235948342398,0.3824238228255175,1.0,0.49683450971123244
676,0.6241483968907446,0.37946867754219893,1.0,0.49683450971123244
744,0.6238391431819719,0.37853154509137227,1.0,0.49683450971123244
108,0.620867763807239,0.36952736516793905,1.0,0.49683450971123244
335,0.6193051846921014,0.3647922769402493,1.0,0.49683450971123244
72,0.6189622944251207,0.3637532155251567,1.0,0.49683450971123244
476,0.6182982670155037,0.3617410112535898,1.0,0.49683450971123244
685,0.6163829380193455,0.3559369839925047,1.0,0.49683450971123244
640,0.6151182775084174,0.3521046794139346,1.0,0.49683450971123244
400,0.6119779769093059,0.3425886169923841,1.0,0.49683450971123244
14,0.6114598185698543,0.34101844020616723,1.0,0.49683450971123244
617,0.6093951281054919,0.3347618024353722,1.0,0.49683450971123244
403,0.6088771943576208,0.3331923062297021,1.0,0.49683450971123244
120,0.6083897375969485,0.331715164530695,1.0,0.49683450971123244
449,0.6074953752277543,0.3290049755331372,1.0,0.49683450971123244
586,0.6064936622812511,0.32596948175585455,1.0,0.49683450971123244
724,0.6063168284758507,0.3254336217394897,1.0,0.49683450971123244
272,0.6062271985133675,0.325162015792571,1.0,0.49683450971123244
745,0.6058399121228351,0.6628099519338179,1.0,0.1679783176019859
251,0.605624333051407,0.32333515075632696,1.0,0.49683450971123244
636,0.6007971957586029,0.30870746199025395,1.0,0.49683450971123244
327,0.6002014171840289,0.30690207237033285,1.0,0.49683450971123244
613,0.5994710730575106,0.3046889083505804,1.0,0.49683450971123244
338,0.5991857952245465,0.30382443006887083,1.0,0.49683450971123244
184,0.5984103913437506,0.30147472133918646,1.0,0.49683450971123244
33,0.5980548892548831,0.30039744228201254,1.0,0.49683450971123244
563,0.5975515665258335,0.2988722218909529,1.0,0.49683450971123244
9,0.5965618530643233,0.29587309018940694,1.0,0.49683450971123244
136,0.5958480870502125,0.29371016287391943,1.0,0.49683450971123244
248,0.5958217009345838,0.29363020494777176,1.0,0.49683450971123244
263,0.5956714172556161,0.29317479985999084,1.0,0.49683450971123244
598,0.5951351501245267,0.2915497479475988,1.0,0.49683450971123244
708,0.5945315657308718,0.2897207043304631,1.0,0.49683450971123244
382,0.5943297742398075,0.28910921496360115,1.0,0.49683450971123244
200,0.5935597599606912,0.28677583836021875,1.0,0.49683450971123244
84,0.5932203967871466,0.28574746510705296,1.0,0.49683450971123244
479,0.5927268961475711,0.28425200862349126,1.0,0.49683450971123244
702,0.5926752447557017,0.2840954892541897,1.0,0.49683450971123244
701,0.5921256106856532,0.2824299314661639,1.0,0.49683450971123244
208,0.591968197056943,0.2819529204700728,1.0,0.49683450971123244
243,0.591226712816141,0.27970599852824857,1.0,0.49683450971123244
306,0.5912243449596029,0.27969882320540523,1.0,0.49683450971123244
329,0.5906157028966876,0.27785445331778375,1.0,0.49683450971123244
173,0.5890507652019432,0.2731122178791643,1.0,0.49683450971123244
73,0.5888524265024637,0.2725111915171051,1.0,0.49683450971123244
766,0.5888455822414176,0.27249045133211663,1.0,0.49683450971123244
111,0.5887041090950882,0.27206174482808804,1.0,0.49683450971123244
421,0.5885556581905462,0.27161189360220356,1.0,0.49683450971123244
439,0.5885229698107055,0.2715128379057168,1.0,0.49683450971123244
