Dimension,Importance_Score,Mean_Difference,Std_Difference,Median_Difference,Max_Difference,Q75_Difference
1,0.09679173572235815,0.11398513338858483,0.09002875230265894,0.096623391,0.5091839132,0.16305294112499996
2,0.0886240259910455,0.11464966289353166,0.08272602655854226,0.09878622379999999,0.442943022,0.16392559635
3,0.026290108768062162,0.0796155388615961,0.06520293389670362,0.06375604800000001,0.39603267600000003,0.11204198467499998
4,0.03750557112156702,0.0803054836208362,0.06957614392337069,0.06221563455,0.5077756121,0.11444965025
5,0.06158335825631357,0.09499538756923169,0.07390681479095078,0.07910710929999999,0.5264839754999999,0.13124811584500004
6,0.08718310999297521,0.10857668886591573,0.08310946899904145,0.09334047880000002,0.521074459,0.15768434499999998
7,0.05344937276274785,0.09187042542545894,0.07566366223282586,0.07611298195000002,0.455774075,0.12629626732500002
8,0.14040025440393114,0.141047470833872,0.09542156514241326,0.13120972900000005,0.524692148,0.19810381925
9,0.06001664559013819,0.09211303275584888,0.07397781521438448,0.07468486999999999,0.5448228717,0.1354676438925
10,0.08396085329090665,0.108905171865158,0.08245398417096289,0.09169978649999999,0.514108777,0.14871307125
11,0.032503207122891925,0.078148381233996,0.07026107730432511,0.05867423150000001,0.4954074767,0.105858307775
12,0.13668918447335748,0.13282638543346695,0.09145656315488938,0.11969614400000002,0.68068174038,0.18715002230000002
13,0.0589760745978832,0.09684224399921978,0.07844826714322663,0.0765298809,0.430516645,0.138119824
14,0.1307769172548929,0.13267248743212107,0.0982888674644268,0.11657823600000003,0.5582478042,0.186332703
15,0.09992972687615394,0.1124702277160341,0.08823466020390613,0.09469857099999998,0.587442249,0.165543682075
16,0.19968525001137857,0.16205198931118203,0.1117375813042041,0.14792480365,0.8390586896,0.22524292049999994
17,0.13144127362309901,0.1312680871517296,0.09128280728960106,0.11971096699999997,0.636343911,0.18202184705000002
18,0.014489641415742799,0.07063840860561003,0.05860559514013306,0.0558289215,0.45646441000000004,0.09810742799999998
19,0.030480257931934044,0.08298258018170379,0.06434059708228325,0.068581079035,0.376966223,0.122013566725
20,0.05805043498702663,0.081005259777624,0.07329850761545588,0.061118046009999996,0.7569799869999999,0.11487650924999998
21,0.07119243929990873,0.10349279524420948,0.07613587579198074,0.0892987178,0.463234708,0.14633259727500003
22,0.04690424111741167,0.08818768095973696,0.07282124189876413,0.07304229549999999,0.450222135,0.1231750891175
23,0.027638546190343245,0.07919270124038004,0.0646297407198947,0.06350526999999997,0.43532726200000005,0.10821551249999999
24,0.10244395371572029,0.10802548867515993,0.09142981489000644,0.08505255750000001,0.7345235939999999,0.14889691982750003
25,0.08050150696022215,0.10542321587392726,0.08019545944634976,0.08621720888500001,0.540932186,0.152470853
26,0.11503988509438474,0.13251235910399678,0.0842586301975837,0.12130091947499999,0.4494492338,0.1840133516
27,0.09843484357986156,0.11216725703042423,0.08908836365922256,0.09090883695,0.6132263250000001,0.15500923242
28,0.08577212489706994,0.11244764557059961,0.08132743194500344,0.09925372559999998,0.448095009,0.15789670579999998
29,0.15382247753617595,0.14936264667262067,0.09630892855823121,0.1387829747,0.545599267,0.21283820855
30,0.0657346709384788,0.0939027237935073,0.07394085508050613,0.07650031725,0.596117407,0.13611562500000002
31,0.1269488411641904,0.13254697820180084,0.10221813544118685,0.10719515564999998,0.505865887,0.194905100775
32,0.07857237080873541,0.10564564687999789,0.07846487738114269,0.08882570645,0.5119813006,0.15253542000000003
33,0.04580045583782833,0.08762078813875536,0.07134048888209185,0.07036940380000001,0.4618327321,0.12636405975
34,0.06359109032104188,0.09652981170137082,0.07699306755786887,0.079145379545,0.4925886543,0.13867487487500002
35,0.11606315656436278,0.12663788529941192,0.08758261221955285,0.11436424050000002,0.534435242,0.18058189750000003
36,0.03231951024226269,0.08022508099274188,0.06943232306027357,0.06418325750000001,0.43652929386,0.1103920994625
37,0.07857187063065928,0.10204518563459745,0.08039261750543476,0.08195988149999998,0.593238205,0.14277794175
38,0.08597618323532161,0.11240095947082519,0.0804017735884234,0.1007096977,0.43734067660000003,0.162946717975
39,0.0346986726428722,0.08446783692423007,0.06469443482076628,0.07227283699999998,0.39542467130000003,0.12236301575
40,0.041683344897831924,0.08513635354896602,0.07049819984594062,0.0662741158,0.473645553,0.1209751925
41,0.11188355441057878,0.11809448988837296,0.09016429760401676,0.09868756305000001,0.6432145499999999,0.172820702
42,0.0366411535676646,0.08556129374082738,0.07031862204382573,0.06792428349999997,0.396416843,0.119199097225
43,0.14454087176750754,0.141683839685807,0.09860724706781779,0.125888273,0.5653544291,0.20373111249999998
44,0.07139157755340733,0.099103396050825,0.08527928868049463,0.0762917936,0.5194726772,0.13869385037499998
45,0.06338288792956859,0.090353992208218,0.08058136982819988,0.06983373350000001,0.595671489,0.12768282827500002
46,0.03803982208843746,0.08357633118493495,0.06833298754606955,0.06673167845000004,0.466098994,0.11629972599999996
47,0.09514731865660891,0.114189917315636,0.09081459432926481,0.09136191918500002,0.509028152,0.16359981900000004
48,0.07554245381299199,0.104687008121529,0.08242513928837848,0.08523580435,0.46228277689999997,0.153074160025
49,0.08089967489072546,0.11310974422077788,0.0803450807295695,0.09373558695,0.408800512,0.1617492523
50,0.04560264804446991,0.08799322678619108,0.06971829179784426,0.0711256345,0.476831347,0.12243613599999997
51,0.07020812578460153,0.09526800611378289,0.07661252508656813,0.0810762777,0.5956433193999999,0.135064742475
52,0.049065018680946766,0.08635412258928409,0.07082960393313768,0.0695966855,0.5471759477,0.11885656867500001
53,0.08771677463687029,0.11224079035851202,0.08980404838694699,0.08871983528499999,0.44514224300000005,0.16491257674999998
54,0.07868665798955268,0.10359854149473996,0.0850704768655043,0.08389408172,0.521424122,0.144503934675
55,0.04502157193708752,0.08326453842658312,0.06561838407276754,0.069407046,0.567375794,0.118689611325
56,0.0709783261591771,0.09381462861753993,0.08125735015010101,0.07409061499999994,0.626578494,0.13222431425000003
57,0.1055000683566749,0.11509858150417596,0.08685200750408055,0.0971011665,0.624012485,0.17165041
58,0.1525964610291962,0.14437221723464497,0.11304186390118319,0.12185316709999999,0.5205103160000001,0.2128894745
59,0.03203974975636374,0.08158332248232454,0.06283583919439492,0.06950941335,0.436908483,0.1150758126875
60,0.06362777018014151,0.09643369824560187,0.07991622912680689,0.07675451384999998,0.488599867,0.13606560880000002
61,0.16978074091092787,0.15700139803816837,0.10451647369467132,0.14551644425000004,0.5334355012,0.23160810425
62,0.08511817731721238,0.10443096481601466,0.08381414667792657,0.087461591,0.582057088,0.14849053655000002
63,0.12459870951937128,0.13512100516343606,0.09315979323696347,0.11878572205000001,0.467112332,0.19355754499999994
64,0.09086567870082626,0.11245660313089002,0.08381245156085647,0.09352219446,0.52142483,0.16159756475
65,0.05209903190070823,0.09062609363666402,0.0733332933858948,0.0741002671,0.482199758,0.12618800313499998
66,0.04980053951262119,0.09141534782056789,0.07403905701254207,0.0720176773,0.432063848,0.1330471045
67,0.09166029842348525,0.11575867873138908,0.07871249374526418,0.10631084307,0.4535200635,0.1685344967
68,0.09420197167607791,0.1091595315819143,0.08655021760050338,0.08842504770000001,0.6034349276,0.16091149929999998
69,0.0495645325168244,0.09238161200657018,0.07451128362802288,0.07369276900000002,0.4196509871,0.12784084605
70,0.1227094233676076,0.12442413155291764,0.0991669685555953,0.1049725004,0.6033104578999999,0.17774714156
71,0.0682579514030925,0.09699182804221987,0.08364118586071541,0.07460631450000002,0.519967168,0.13858899475000003
72,0.033832839546256106,0.08340714559761606,0.06514403742831777,0.06993193199999997,0.410734236,0.11940048624999999
73,0.05376246138156745,0.09329580021400416,0.07035243217937383,0.08017193885000001,0.4525621199,0.133682616475
74,0.10558635121488576,0.10976868752450708,0.09269276678820944,0.08807964333999999,0.7209817169999999,0.1532497027375
75,0.14357284315377186,0.1461201144037303,0.08568125155458689,0.13762940499999998,0.579121471,0.19719041862500003
76,0.11140533533387041,0.11557204219961717,0.09831435663396838,0.090569496,0.643247589,0.1688487366
77,0.16368501917720674,0.152536131920489,0.09938035499363145,0.14252705850000003,0.5911794610000001,0.217356305
78,0.046096654407631076,0.08713868100163752,0.06936941709887708,0.0695828275,0.49787680409999996,0.1246452855
79,0.04452532297812349,0.0850226423328039,0.07360800381197474,0.06847563400000001,0.4816800434,0.11697334921250001
80,0.05594273347796794,0.09316686040416744,0.07476447343879869,0.07489659999999998,0.476939633,0.13324471550000003
81,0.05774035127579685,0.09162018740367199,0.07675445000049534,0.07326152949999999,0.5280813870000001,0.12511540755000003
82,0.12086114097753106,0.1262015559029201,0.09132358307624078,0.10881668300000003,0.6119906302,0.17772451425000002
83,0.06424967045457568,0.10042312700121704,0.07080626973050991,0.087318695695,0.45731511700000005,0.14550176380000002
84,0.06942189380715591,0.10135151517154807,0.07925518532539304,0.08483029899999997,0.478625208,0.13770280049999997
85,0.0560724463905199,0.08911332294057316,0.07691469152402146,0.07094693725000001,0.546158903,0.12244126935000002
86,0.11813637155629832,0.12751649833318981,0.0942383553858573,0.10591028649500003,0.544637516,0.18138955610000002
87,0.060569529335601266,0.0865482812693523,0.0750137536493528,0.07046989720000002,0.661609083,0.11827548575000002
88,0.04519756977927078,0.08158343114750706,0.0677978122769178,0.06643845165000001,0.594383613,0.1141103151
89,0.027654974712837493,0.07519206765907985,0.06087697834486306,0.062430694499999995,0.5147795980000001,0.1067131795
90,0.05219320932285857,0.09058966434237946,0.074193522178542,0.07240967599999998,0.4668217,0.13354147275
91,0.02228343249433691,0.07905613484816003,0.06298630851451598,0.06277547799999998,0.3604634775,0.11643713375
92,0.047593484060073604,0.08940044243768404,0.06542220949678718,0.0754849014,0.477633059,0.13281503004999998
93,0.07899787761121625,0.10630959632907204,0.08179032503484539,0.08949220435,0.4786139427,0.1519622517
94,0.04579998859798407,0.0891919091943851,0.07099067274243943,0.07273682199999999,0.43433056800000003,0.12739342132499998
95,0.0625371900918637,0.10102461740324006,0.07497647967175239,0.08531782099999999,0.40977206860000004,0.142686065425
96,0.1263427710979286,0.12303934173308213,0.09254384406902248,0.104845777,0.718818977,0.18109141834999998
97,0.020234288362178884,0.07507111162028052,0.06236242830850775,0.05980614595,0.4220632237,0.10437617910000001
98,0.04680177491584802,0.09488064402424659,0.06911337580965862,0.082029038235,0.3350780887,0.13664578452499998
99,0.08433118371703854,0.10805185161770814,0.08514467491582439,0.0891877151,0.49080173700000007,0.158566056025
100,0.1425284874965437,0.1409065732217931,0.09782864956273332,0.1261552875,0.5509983009999999,0.20321317582499998
101,0.06495623725741342,0.09781771363016606,0.07373475379804716,0.0834738015,0.5061661417000001,0.13782030885
102,0.09973301325943675,0.1107270222055958,0.08147915667627176,0.0992897189,0.6750421529999999,0.14993783114999998
103,0.03740618879066989,0.08791147148634813,0.0679013066643412,0.0730458853,0.36015328,0.125789190825
104,0.046318793239888655,0.09006279145479507,0.07316290093051524,0.07318218669999998,0.41350550939999997,0.1265088985
105,0.09141694776048652,0.11396439610187795,0.08078530252138948,0.10131881545,0.5012917815,0.1594880037825
106,0.03778809741790962,0.08300247724165302,0.0710520900790691,0.06406050895,0.455516681,0.1175452042325
107,0.047228492592732575,0.09311850610472802,0.07001542276723646,0.07628093124999999,0.3987123076,0.130908001325
108,0.10889943330281146,0.12087257409946592,0.09752536866525369,0.09474855267999999,0.539218061,0.17116280082500002
109,0.05038621373513671,0.09430608870584493,0.07359417909662615,0.07909697250000002,0.357341707,0.139916161
110,0.16721993952607483,0.1362951501962617,0.11071504429317401,0.11356360100000001,0.930580825,0.1879045239
111,0.08329351597676912,0.10922286048887592,0.07619845524098186,0.09619704850000001,0.5248501187000001,0.151522446275
112,0.10920661625028795,0.11536771129185397,0.09438339817524484,0.0932599323,0.641980886,0.16597609286822498
113,0.02681170569624596,0.08182862625911748,0.06445517928602483,0.06483906499999997,0.3738147468,0.1162086185
114,0.16515672140141893,0.15775940143282305,0.09490817501583318,0.14781833449999998,0.5697323996,0.21983361812500002
115,0.07616588966236422,0.10528773927605568,0.07750801206399198,0.0942490995,0.47938963700000004,0.14395474235
