dimension,edi_score,mi_score,wilcoxon_score,rfe_score
641,0.9405295699325518,1.0,1.0,0.7026478496627587
586,0.9368550381481466,0.8756648307977496,1.0,0.8086103599429837
335,0.9161505833007845,0.8166780601222496,1.0,0.7640748563816727
38,0.9113023218596072,0.5565116092980368,1.0,1.0
684,0.8976619176866012,0.7228902819805172,1.0,0.7654193064524886
522,0.8908043821736437,0.5806930659579145,1.0,0.8733288449103039
470,0.8880333719238549,0.4514072252752249,1.0,0.9887596343440493
548,0.882051290280925,0.6835721043272788,1.0,0.7266843470773466
4,0.8812422664881308,0.5915540127122106,1.0,0.8146573197284432
653,0.8626782177687489,0.5852508809488285,1.0,0.7281402078949162
264,0.8611584553278502,0.6621348224144509,1.0,0.6436574542248004
620,0.8564873937578249,0.41554534331926923,1.0,0.8668916254698557
556,0.851792068797145,0.537477717027991,1.0,0.7214826269577337
448,0.8325973291583364,0.3177080132691432,1.0,0.8452786325225385
156,0.8209761526245024,0.3749096656851554,1.0,0.7299710974373567
411,0.8180996994744318,0.31131336956377476,1.0,0.7791851278083846
330,0.8151049616759884,0.4571863581241936,1.0,0.6183384502557484
393,0.8126062892201389,0.2612548256902973,1.0,0.8017766204103969
60,0.7972372915182833,0.30779088044105074,1.0,0.6783955771503659
717,0.7705542129275924,0.16599934583771395,1.0,0.6867717188002483
718,0.7681492986262295,0.8407464931311474,1.0,0.0
45,0.735507891820751,0.6775394591037553,1.0,0.0
699,0.7274825434929107,0.6374127174645539,1.0,0.0
527,0.7217766479253296,0.608883239626648,1.0,0.0
174,0.7145710913147323,0.5728554565736614,1.0,0.0
259,0.7132510687947085,0.5662553439735424,1.0,0.0
531,0.7075417373667413,0.5377086868337064,1.0,0.0
194,0.706890977150213,0.534454885751065,1.0,0.0
185,0.7062213915907504,0.5311069579537517,1.0,0.0
508,0.7060680508412769,0.5303402542063842,1.0,0.0
575,0.7054369354372934,0.5271846771864669,1.0,0.0
664,0.7038659151074963,0.5193295755374817,1.0,0.0
515,0.7003396033836591,0.5016980169182956,1.0,0.0
395,0.6998186763985697,0.4990933819928486,1.0,0.0
485,0.6974601198777559,0.48730059938877995,1.0,0.0
461,0.6972461226091562,0.48623061304578136,1.0,0.0
444,0.6934207973500455,0.46710398675022746,1.0,0.0
592,0.6931044420836359,0.46552221041817926,1.0,0.0
558,0.6915092344721374,0.4575461723606872,1.0,0.0
