dimension,edi_score,mi_score,wilcoxon_score,rfe_score
686,0.891059636048825,0.5507424544884963,1.0,0.9045557257556288
663,0.8832083759931503,0.518191247031033,1.0,0.8978506329347183
139,0.8804901966153957,0.4958774911994184,1.0,0.9065734918775603
605,0.8789554750851416,0.6268413869345524,1.0,0.7679359884911554
269,0.865027888354504,0.47856892874527684,1.0,0.8465705130272428
441,0.861197651680747,0.3129892538155455,1.0,0.9929990045881896
144,0.8535263137607415,0.4639467668050341,1.0,0.8036848019986738
692,0.8467999032932056,0.24583463275308454,1.0,0.9881648837129436
445,0.8385099084696017,0.43751394592002,1.0,0.7550355964279888
442,0.8220775327395337,0.29344932807802987,1.0,0.8169383356196387
478,0.8179930252579108,0.08996512628955451,1.0,1.0
191,0.8097077032411711,0.14599722859925535,1.0,0.9025412876066004
319,0.8059836753207995,0.37546493604472597,1.0,0.6544534405592716
736,0.8015393465530201,0.14283637077580874,1.0,0.8648603619892913
732,0.8002411667184804,0.18714404212046112,1.0,0.8140617914719411
602,0.7994232954442712,0.28792399722505396,1.0,0.7091924799963015
661,0.7954022903630573,0.19529719080061744,1.0,0.7817142610146693
581,0.79133413359408,0.29544748858081316,1.0,0.6612231793895869
26,0.7820219571562628,0.13355012463227392,1.0,0.7765596611490396
535,0.7555795235028844,0.08669133078871957,1.0,0.6912062867257021
398,0.7418151960428239,0.7090759802141193,1.0,0.0
15,0.727415530874402,0.6370776543720104,1.0,0.0
538,0.7166043096224596,0.5830215481122979,1.0,0.0
306,0.7126020370517302,0.5630101852586512,1.0,0.0
580,0.7059429582737806,0.5297147913689031,1.0,0.0
330,0.700018808356686,0.5000940417834296,1.0,0.0
534,0.6999497383706057,0.4997486918530287,1.0,0.0
479,0.6999313946370379,0.4996569731851895,1.0,0.0
291,0.6972023466578955,0.48601173328947755,1.0,0.0
492,0.6955114757374232,0.4775573786871164,1.0,0.0
264,0.6944486666600216,0.47224333330010826,1.0,0.0
706,0.6894277058772642,0.447138529386321,1.0,0.0
163,0.6854330344399635,0.4271651721998176,1.0,0.0
74,0.6838258467329023,0.41912923366451155,1.0,0.0
422,0.6828249017795368,0.41412450889768404,1.0,0.0
28,0.681353284674533,0.40676642337266533,1.0,0.0
498,0.6791371466201818,0.3956857331009087,1.0,0.0
577,0.6784358374813342,0.3921791874066712,1.0,0.0
340,0.6776137588567356,0.3880687942836778,1.0,0.0
113,0.6717943857666804,0.35897192883340184,1.0,0.0
62,0.6713768293699758,0.3568841468498792,1.0,0.0
157,0.6708071152702884,0.35403557635144217,1.0,0.0
332,0.6694192289959541,0.3470961449797703,1.0,0.0
423,0.6678978981002006,0.339489490501003,1.0,0.0
205,0.6671513166981271,0.33575658349063586,1.0,0.0
665,0.6661097960860453,0.3305489804302263,1.0,0.0
600,0.6637502467230465,0.31875123361523283,1.0,0.0
762,0.663398738749584,0.31699369374792014,1.0,0.0
371,0.6632186658402982,0.3160933292014911,1.0,0.0
60,0.6631253688033016,0.31562684401650815,1.0,0.0
140,0.6624087882193843,0.3120439410969218,1.0,0.0
219,0.6615039186138418,0.30751959306920934,1.0,0.0
11,0.661316600304751,0.30658300152375506,1.0,0.0
25,0.6610777015559495,0.3053885077797472,1.0,0.0
76,0.6604708856445378,0.30235442822268904,1.0,0.0
30,0.660323472197568,0.3016173609878404,1.0,0.0
176,0.6602532253121771,0.3012661265608859,1.0,0.0
525,0.6602468691163765,0.30123434558188295,1.0,0.0
246,0.6600098678015496,0.3000493390077477,1.0,0.0
468,0.6595480941386969,0.29774047069348436,1.0,0.0
530,0.6591380890913516,0.29569044545675843,1.0,0.0
556,0.6579719438243254,0.2898597191216273,1.0,0.0
409,0.657238163025058,0.2861908151252903,1.0,0.0
34,0.65624395874423,0.28121979372115014,1.0,0.0
752,0.6558879312614193,0.27943965630709666,1.0,0.0
274,0.6556435988884572,0.27821799444228656,1.0,0.0
16,0.655605468387302,0.2780273419365106,1.0,0.0
381,0.6551524510855496,0.2757622554277482,1.0,0.0
542,0.6545835133389828,0.2729175666949143,1.0,0.0
505,0.654025279462513,0.27012639731256516,1.0,0.0
378,0.6539066254716821,0.2695331273584109,1.0,0.0
152,0.6536762215627313,0.2683811078136565,1.0,0.0
481,0.6535577862382205,0.26778893119110236,1.0,0.0
460,0.6529365703752961,0.26468285187648033,1.0,0.0
485,0.6529344381274886,0.26467219063744307,1.0,0.0
42,0.6528123748772988,0.2640618743864941,1.0,0.0
440,0.6521593623627243,0.2607968118136217,1.0,0.0
334,0.6519101474558106,0.2595507372790531,1.0,0.0
667,0.6518840569008191,0.25942028450409577,1.0,0.0
407,0.6518274822116147,0.25913741105807353,1.0,0.0
547,0.651650433623217,0.2582521681160848,1.0,0.0
463,0.6503868222914587,0.2519341114572936,1.0,0.0
394,0.6495727549789454,0.24786377489472725,1.0,0.0
721,0.6494481294443469,0.24724064722173458,1.0,0.0
85,0.6489135173417235,0.24456758670861795,1.0,0.0
284,0.6485916353024208,0.2429581765121039,1.0,0.0
635,0.648472664228501,0.24236332114250494,1.0,0.0
666,0.6484287370299331,0.24214368514966578,1.0,0.0
699,0.6474882868442938,0.2374414342214694,1.0,0.0
632,0.6472888353751072,0.2364441768755358,1.0,0.0
528,0.646619462901923,0.23309731450961493,1.0,0.0
145,0.6463435504404493,0.23171775220224688,1.0,0.0
464,0.6455343408704628,0.22767170435231404,1.0,0.0
443,0.645377155583853,0.22688577791926529,1.0,0.0
178,0.6453146793086515,0.22657339654325728,1.0,0.0
182,0.6448922320492235,0.22446116024611754,1.0,0.0
194,0.6443875698137641,0.2219378490688207,1.0,0.0
323,0.6442978174069933,0.2214890870349665,1.0,0.0
659,0.6434086350256933,0.21704317512846658,1.0,0.0
385,0.642728397815046,0.21364198907522974,1.0,0.0
114,0.6427195346084524,0.21359767304226246,1.0,0.0
110,0.6425201106479348,0.21260055323967422,1.0,0.0
241,0.642499811245099,0.212499056225495,1.0,0.0
476,0.6422752719137932,0.21137635956896586,1.0,0.0
173,0.6422102726047074,0.21105136302353705,1.0,0.0
356,0.6421966079087785,0.2109830395438929,1.0,0.0
457,0.6419801742814604,0.209900871407302,1.0,0.0
133,0.6417365691284429,0.20868284564221481,1.0,0.0
353,0.6416819632477403,0.20840981623870153,1.0,0.0
373,0.6413179962977497,0.20658998148874824,1.0,0.0
99,0.6411159225445752,0.20557961272287614,1.0,0.0
652,0.6410713233820451,0.20535661691022553,1.0,0.0
262,0.6409370375330302,0.20468518766515142,1.0,0.0
104,0.6408825240398822,0.20441262019941106,1.0,0.0
641,0.6408628807329542,0.20431440366477083,1.0,0.0
132,0.6408527202670565,0.20426360133528257,1.0,0.0
411,0.6404898576165098,0.20244928808254892,1.0,0.0
339,0.6399809541459078,0.1999047707295392,1.0,0.0
170,0.6397458123804406,0.19872906190220296,1.0,0.0
69,0.6396875018565129,0.1984375092825647,1.0,0.0
107,0.6393245462710211,0.19662273135510533,1.0,0.0
619,0.6391793862988966,0.1958969314944832,1.0,0.0
616,0.6389988188279675,0.1949940941398375,1.0,0.0
1,0.6389533059990975,0.19476652999548769,1.0,0.0
669,0.638660120234683,0.19330060117341488,1.0,0.0
557,0.6385931156595556,0.19296557829777797,1.0,0.0
434,0.6382796202330545,0.19139810116527295,1.0,0.0
657,0.6382594644703259,0.19129732235162966,1.0,0.0
623,0.6380423647171702,0.1902118235858516,1.0,0.0
40,0.6379908902546269,0.18995445127313437,1.0,0.0
13,0.6379568437270997,0.18978421863549846,1.0,0.0
111,0.6379125574929898,0.1895627874649494,1.0,0.0
231,0.6378505175114608,0.18925258755730404,1.0,0.0
135,0.6376577186173226,0.18828859308661294,1.0,0.0
759,0.6375420799125857,0.1877103995629288,1.0,0.0
214,0.6369402460848634,0.18470123042431746,1.0,0.0
